Event_ID,Action_Record_ID,Process_Code,Employee_ID,Event_Type,Event_DateTime,Performed_By_Employee_ID,Performed_By_Name,Previous_Status,New_Status,Effect,Note,Data_As_Of_Date
HREVT-000029,HRACT-00015,PROB_CONFIRM,EMP614,RECORDED,2025-06-20T14:25,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000030,HRACT-00015,PROB_CONFIRM,EMP614,APPLIED,2025-06-24T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000031,HRACT-00016,PROB_CONFIRM,EMP526,RECORDED,2025-06-25T09:05,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000032,HRACT-00016,PROB_CONFIRM,EMP526,APPLIED,2025-06-27T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000033,HRACT-00017,PROB_CONFIRM,EMP005,RECORDED,2025-06-29T11:15,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000034,HRACT-00017,PROB_CONFIRM,EMP005,APPLIED,2025-06-30T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000035,HRACT-00018,PROB_CONFIRM,EMP467,RECORDED,2025-06-28T13:55,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000036,HRACT-00018,PROB_CONFIRM,EMP467,APPLIED,2025-06-30T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000037,HRACT-00019,PROB_CONFIRM,EMP615,RECORDED,2025-07-03T16:25,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000038,HRACT-00019,PROB_CONFIRM,EMP615,APPLIED,2025-07-03T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000039,HRACT-00020,PROB_CONFIRM,EMP666,RECORDED,2025-07-02T16:20,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000040,HRACT-00020,PROB_CONFIRM,EMP666,APPLIED,2025-07-06T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000041,HRACT-00021,PROB_CONFIRM,EMP476,RECORDED,2025-07-05T16:50,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000042,HRACT-00021,PROB_CONFIRM,EMP476,APPLIED,2025-07-09T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000043,HRACT-00022,PROB_CONFIRM,EMP423,RECORDED,2025-07-05T14:45,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000044,HRACT-00022,PROB_CONFIRM,EMP423,APPLIED,2025-07-10T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000045,HRACT-00023,PROB_CONFIRM,EMP620,RECORDED,2025-07-09T15:15,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000046,HRACT-00023,PROB_CONFIRM,EMP620,APPLIED,2025-07-13T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000047,HRACT-00024,PROB_CONFIRM,EMP528,RECORDED,2025-07-13T14:00,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000048,HRACT-00024,PROB_CONFIRM,EMP528,APPLIED,2025-07-14T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000049,HRACT-00025,PROB_CONFIRM,EMP019,RECORDED,2025-07-25T11:00,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000050,HRACT-00025,PROB_CONFIRM,EMP019,APPLIED,2025-07-28T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000051,HRACT-00026,PROB_CONFIRM,EMP661,RECORDED,2025-07-30T12:05,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000052,HRACT-00026,PROB_CONFIRM,EMP661,APPLIED,2025-08-02T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000053,HRACT-00027,PROB_CONFIRM,EMP154,RECORDED,2025-08-03T14:45,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000054,HRACT-00027,PROB_CONFIRM,EMP154,APPLIED,2025-08-08T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000055,HRACT-00028,PROB_CONFIRM,EMP712,RECORDED,2025-08-05T13:30,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000056,HRACT-00028,PROB_CONFIRM,EMP712,APPLIED,2025-08-08T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000057,HRACT-00029,PROB_CONFIRM,EMP060,RECORDED,2025-08-11T13:10,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000058,HRACT-00029,PROB_CONFIRM,EMP060,APPLIED,2025-08-11T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000059,HRACT-00030,PROB_CONFIRM,EMP434,RECORDED,2025-08-08T11:15,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000060,HRACT-00030,PROB_CONFIRM,EMP434,APPLIED,2025-08-11T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000061,HRACT-00031,PROB_CONFIRM,EMP482,RECORDED,2025-08-12T11:00,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000062,HRACT-00031,PROB_CONFIRM,EMP482,APPLIED,2025-08-12T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000063,HRACT-00032,PROB_CONFIRM,EMP664,RECORDED,2025-08-10T15:40,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000064,HRACT-00032,PROB_CONFIRM,EMP664,APPLIED,2025-08-12T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000065,HRACT-00033,PROB_CONFIRM,EMP529,RECORDED,2025-08-12T10:45,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000066,HRACT-00033,PROB_CONFIRM,EMP529,APPLIED,2025-08-14T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000067,HRACT-00034,PROB_CONFIRM,EMP537,RECORDED,2025-08-31T09:40,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000068,HRACT-00034,PROB_CONFIRM,EMP537,APPLIED,2025-09-04T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000069,HRACT-00035,PROB_CONFIRM,EMP475,RECORDED,2025-09-04T14:05,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000070,HRACT-00035,PROB_CONFIRM,EMP475,APPLIED,2025-09-05T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000071,HRACT-00036,PROB_CONFIRM,EMP096,RECORDED,2025-09-02T09:00,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000072,HRACT-00036,PROB_CONFIRM,EMP096,APPLIED,2025-09-06T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000073,HRACT-00037,PROB_CONFIRM,EMP003,RECORDED,2025-09-07T16:45,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000074,HRACT-00037,PROB_CONFIRM,EMP003,APPLIED,2025-09-08T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000075,HRACT-00038,PROB_CONFIRM,EMP400,RECORDED,2025-09-12T15:50,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000076,HRACT-00038,PROB_CONFIRM,EMP400,APPLIED,2025-09-14T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000077,HRACT-00039,PROB_CONFIRM,EMP109,RECORDED,2025-09-12T15:30,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000078,HRACT-00039,PROB_CONFIRM,EMP109,APPLIED,2025-09-15T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000079,HRACT-00040,PROB_CONFIRM,EMP127,RECORDED,2025-09-23T09:25,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000080,HRACT-00040,PROB_CONFIRM,EMP127,APPLIED,2025-09-24T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000081,HRACT-00041,PROB_CONFIRM,EMP348,RECORDED,2025-09-24T09:15,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000082,HRACT-00041,PROB_CONFIRM,EMP348,APPLIED,2025-09-25T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000083,HRACT-00042,PROB_CONFIRM,EMP438,RECORDED,2025-09-21T14:45,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000084,HRACT-00042,PROB_CONFIRM,EMP438,APPLIED,2025-09-25T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000085,HRACT-00043,PROB_CONFIRM,EMP242,RECORDED,2025-09-27T10:30,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000086,HRACT-00043,PROB_CONFIRM,EMP242,APPLIED,2025-09-28T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000087,HRACT-00044,PROB_CONFIRM,EMP570,RECORDED,2025-10-07T16:10,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000088,HRACT-00044,PROB_CONFIRM,EMP570,APPLIED,2025-10-08T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000089,HRACT-00045,PROB_CONFIRM,EMP165,RECORDED,2025-10-29T14:25,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000090,HRACT-00045,PROB_CONFIRM,EMP165,APPLIED,2025-11-02T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000091,HRACT-00046,PROB_CONFIRM,EMP098,RECORDED,2025-11-02T13:10,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000092,HRACT-00046,PROB_CONFIRM,EMP098,APPLIED,2025-11-03T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000093,HRACT-00047,PROB_CONFIRM,EMP122,RECORDED,2025-11-07T16:55,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000094,HRACT-00047,PROB_CONFIRM,EMP122,APPLIED,2025-11-07T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000095,HRACT-00048,PROB_CONFIRM,EMP481,RECORDED,2025-11-06T15:05,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000096,HRACT-00048,PROB_CONFIRM,EMP481,APPLIED,2025-11-07T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000097,HRACT-00049,PROB_CONFIRM,EMP573,RECORDED,2025-11-08T10:35,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000098,HRACT-00049,PROB_CONFIRM,EMP573,APPLIED,2025-11-10T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000099,HRACT-00050,PROB_CONFIRM,EMP115,RECORDED,2025-11-11T11:10,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000100,HRACT-00050,PROB_CONFIRM,EMP115,APPLIED,2025-11-11T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000101,HRACT-00051,PROB_CONFIRM,EMP151,RECORDED,2025-11-07T11:05,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000102,HRACT-00051,PROB_CONFIRM,EMP151,APPLIED,2025-11-11T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000103,HRACT-00052,PROB_CONFIRM,EMP041,RECORDED,2025-11-12T15:20,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000104,HRACT-00052,PROB_CONFIRM,EMP041,APPLIED,2025-11-13T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000105,HRACT-00053,PROB_CONFIRM,EMP184,RECORDED,2025-11-14T14:20,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000106,HRACT-00053,PROB_CONFIRM,EMP184,APPLIED,2025-11-14T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000107,HRACT-00054,PROB_CONFIRM,EMP180,RECORDED,2025-11-11T09:00,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000108,HRACT-00054,PROB_CONFIRM,EMP180,APPLIED,2025-11-15T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000109,HRACT-00055,PROB_CONFIRM,EMP667,RECORDED,2025-11-24T09:50,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000110,HRACT-00055,PROB_CONFIRM,EMP667,APPLIED,2025-11-28T09:00,EMP197,Zeeshan Qureshi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000111,HRACT-00056,PROB_CONFIRM,EMP073,RECORDED,2025-11-29T14:25,EMP202,Usman Hashmi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000112,HRACT-00056,PROB_CONFIRM,EMP073,APPLIED,2025-12-02T09:00,EMP202,Usman Hashmi,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000113,HRACT-00057,PROB_CONFIRM,EMP671,RECORDED,2025-12-03T13:25,EMP203,Zainab Awan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000114,HRACT-00057,PROB_CONFIRM,EMP671,APPLIED,2025-12-03T09:00,EMP203,Zainab Awan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000115,HRACT-00058,PROB_CONFIRM,EMP163,RECORDED,2025-12-05T10:30,EMP066,Ali Gill,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000116,HRACT-00058,PROB_CONFIRM,EMP163,APPLIED,2025-12-05T09:00,EMP066,Ali Gill,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000117,HRACT-00059,PROB_CONFIRM,EMP033,RECORDED,2025-12-09T10:45,EMP081,Sonia Arif,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000118,HRACT-00059,PROB_CONFIRM,EMP033,APPLIED,2025-12-10T09:00,EMP081,Sonia Arif,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000119,HRACT-00060,PROB_CONFIRM,EMP045,RECORDED,2025-12-05T14:10,EMP085,Sara Yousaf,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000120,HRACT-00060,PROB_CONFIRM,EMP045,APPLIED,2025-12-10T09:00,EMP085,Sara Yousaf,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000121,HRACT-00061,PROB_CONFIRM,EMP240,RECORDED,2025-12-09T09:45,EMP201,Taha Saeed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000122,HRACT-00061,PROB_CONFIRM,EMP240,APPLIED,2025-12-11T09:00,EMP201,Taha Saeed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000123,HRACT-00062,PROB_CONFIRM,EMP214,RECORDED,2025-12-10T16:30,EMP001,Sonia Hassan,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000124,HRACT-00062,PROB_CONFIRM,EMP214,APPLIED,2025-12-14T09:00,EMP001,Sonia Hassan,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000125,HRACT-00063,PROB_CONFIRM,EMP157,RECORDED,2025-12-14T12:10,EMP012,Danish Masood,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000126,HRACT-00063,PROB_CONFIRM,EMP157,APPLIED,2025-12-15T09:00,EMP012,Danish Masood,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000127,HRACT-00064,PROB_CONFIRM,EMP110,RECORDED,2025-12-23T11:50,EMP087,Kashif Hameed,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
HREVT-000128,HRACT-00064,PROB_CONFIRM,EMP110,APPLIED,2025-12-27T09:00,EMP087,Kashif Hameed,SCHEDULED,APPLIED,Operational state already consistent with source employee master,Seeded historical action; no source CSV was modified.,2026-08-01
HREVT-000129,HRACT-00065,PROB_CONFIRM,EMP048,RECORDED,2025-12-23T09:05,EMP197,Zeeshan Qureshi,,APPLIED,Logged,Probation completed with satisfactory review evidence.,2026-08-01
