Employee_ID,Employee_Name,Department_ID,Department,Business_Unit,Position_ID,Position_Title,Designation,Job_Level,Role_Band,Performance_Template_ID,Performance_Cycle_ID,Latest_Performance_Month,Latest_Performance_Score,Latest_Performance_Band,Average_12M_Performance_Score,Lowest_12M_Performance_Score,Highest_12M_Performance_Score,Three_Month_Change_Points,Performance_Trend,Strongest_KPI_1,Strongest_KPI_1_Score,Strongest_KPI_2,Strongest_KPI_2_Score,Development_KPI_1,Development_KPI_1_Score,Development_KPI_2,Development_KPI_2_Score,Average_Evidence_Quality,Existing_Performance_Score_Reference,Existing_Performance_Band_Reference,Review_Status,Data_As_Of_Date
EMP011,Khurram Iqbal,DEPARTMENT-003,Sales,Commercial Services,POS-011,Sales Manager,Sales Manager,Lead/Manager,Manager/Head,PT-SAL-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,79.51,Meets Expectations,78.82,77.29,79.82,0.81,Stable,Attendance and Punctuality,98.88,Learning and Adaptability,94.12,Teamwork and Professional Communication,69.99,Team Leadership and Development,65.73,0.91,84.0,Strong,Calculated - Pending Manager Review,2026-08-01
EMP012,Danish Masood,DEPARTMENT-001,HR,Corporate Services,POS-012,HR Manager,HR Manager,Lead/Manager,Manager/Head,PT-HR-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,79.3,Meets Expectations,79.48,78.28,81.03,-0.03,Stable,Attendance and Punctuality,94.76,HR Service and Recruitment Target Achievement,90.78,Team Leadership and Development,61.74,Teamwork and Professional Communication,53.87,0.92,84.3,Strong,Calculated - Pending Manager Review,2026-08-01
EMP013,Anum Ahmad,DEPARTMENT-001,HR,Corporate Services,POS-013,HR Generalist,HR Specialist,Mid,Professional/Mid-level,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,91.92,Exceptional,92.08,90.75,92.81,0.15,Stable,Employee Case Resolution Time,97.14,HR Service and Recruitment Target Achievement,96.82,Learning and Adaptability,85.03,Teamwork and Professional Communication,71.29,0.91,88.4,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP014,Shahid Ali,DEPARTMENT-005,Engineering,Technology and Innovation,POS-014,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,86.94,Strong,86.01,84.39,87.62,-0.35,Stable,Attendance and Punctuality,98.97,Production Change Success Rate,91.63,Escaped Defects per Release,79.75,Teamwork and Professional Communication,70.8,0.9,83.0,Strong,Calculated - Pending Manager Review,2026-08-01
EMP015,Anum Rehman,DEPARTMENT-005,Engineering,Technology and Innovation,POS-015,Engineering Lead,Engineering Manager,Lead/Manager,Manager/Head,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,80.17,Strong,79.07,78.01,80.59,1.67,Stable,Attendance and Punctuality,96.72,Production Change Success Rate,87.76,Teamwork and Professional Communication,69.97,Team Leadership and Development,64.89,0.91,82.1,Strong,Calculated - Pending Manager Review,2026-08-01
EMP016,Khurram Gill,DEPARTMENT-003,Sales,Commercial Services,POS-016,Account Manager,Senior Sales Executive,Mid,Professional/Mid-level,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,70.48,Meets Expectations,71.08,69.73,72.57,-1.19,Stable,Attendance and Punctuality,93.49,Lead Conversion and Customer Retention Score,78.52,Teamwork and Professional Communication,56.6,Collection Achievement,55.68,0.88,69.6,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP017,Amir Haider,DEPARTMENT-004,Customer Support,Commercial Services,POS-017,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,89.98,Strong,89.58,88.78,90.26,0.63,Stable,Ticket Resolution Target Achievement,100.0,Support SLA Compliance,99.65,First Contact Resolution and Case Quality,84.99,Teamwork and Professional Communication,54.51,0.89,90.5,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP018,Sidra Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,POS-018,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,81.8,Strong,80.46,79.14,81.8,0.37,Stable,Attendance and Punctuality,95.43,Sprint Delivery Achievement,89.68,Learning and Adaptability,65.46,Teamwork and Professional Communication,45.66,0.88,74.1,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP019,Hina Hussain,DEPARTMENT-007,IT,Technology and Innovation,POS-019,Systems Administrator,IT Engineer,Mid,Professional/Mid-level,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,91.88,Exceptional,91.92,90.89,92.53,-0.47,Stable,IT Service Delivery Target Achievement,100.0,Incident Resolution within SLA,97.16,Learning and Adaptability,82.6,Teamwork and Professional Communication,58.36,0.9,88.6,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP020,Waqas Khan,DEPARTMENT-004,Customer Support,Commercial Services,POS-020,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,84.82,Strong,83.61,82.56,84.82,0.73,Stable,Attendance and Punctuality,98.05,Ticket Resolution Target Achievement,96.85,Learning and Adaptability,69.12,Teamwork and Professional Communication,58.79,0.88,81.8,Strong,Calculated - Pending Manager Review,2026-08-01
EMP021,Usman Khan,DEPARTMENT-004,Customer Support,Commercial Services,POS-021,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,76.36,Meets Expectations,76.05,75.07,77.32,1.22,Stable,Attendance and Punctuality,98.79,Support SLA Compliance,80.46,First Contact Resolution and Case Quality,68.53,Teamwork and Professional Communication,65.91,0.87,74.3,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP022,Laiba Raza,DEPARTMENT-003,Sales,Commercial Services,POS-022,Account Manager,Senior Sales Executive,Mid,Professional/Mid-level,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,82.96,Strong,81.32,79.72,82.96,0.16,Stable,Attendance and Punctuality,96.49,Sales Target Achievement,89.54,Teamwork and Professional Communication,72.25,Collection Achievement,67.68,0.89,82.8,Strong,Calculated - Pending Manager Review,2026-08-01
EMP023,Fatima Masood,DEPARTMENT-006,Operations,Enterprise Operations,POS-023,Operations Officer,Operations Officer,Junior,Junior/Assistant,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,77.24,Meets Expectations,76.48,75.46,77.24,-0.58,Stable,Attendance and Punctuality,95.62,Operational SLA Compliance,86.19,Learning and Adaptability,65.8,Teamwork and Professional Communication,52.07,0.87,73.0,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP024,Fatima Arif,DEPARTMENT-007,IT,Technology and Innovation,POS-024,Systems Administrator,IT Engineer,Mid,Professional/Mid-level,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,85.41,Strong,85.07,83.75,86.26,1.07,Stable,Attendance and Punctuality,98.55,Incident Resolution within SLA,89.92,Learning and Adaptability,76.19,Teamwork and Professional Communication,63.59,0.89,81.1,Strong,Calculated - Pending Manager Review,2026-08-01
EMP025,Raza Mughal,DEPARTMENT-002,Finance,Corporate Services,POS-025,Financial Analyst,Financial Analyst,Mid,Professional/Mid-level,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,87.94,Strong,88.43,86.94,89.95,-0.38,Stable,Reporting and Reconciliation Target Achievement,97.45,Attendance and Punctuality,96.05,Learning and Adaptability,73.79,Teamwork and Professional Communication,58.02,0.89,82.6,Strong,Calculated - Pending Manager Review,2026-08-01
EMP026,Anum Qureshi,DEPARTMENT-006,Operations,Enterprise Operations,POS-026,Operations Manager,Operations Manager,Lead/Manager,Manager/Head,PT-OPS-MANAGER,PC-2025-2026-ANNUAL,2026-08-01,68.59,Partially Meets Expectations,67.45,66.64,68.59,1.21,Stable,Attendance and Punctuality,92.88,Operational Throughput Target Achievement,82.79,Team Leadership and Development,50.35,Teamwork and Professional Communication,41.67,0.89,66.0,Needs Improvement,Calculated - Pending Manager Review,2026-08-01
EMP027,Akbar Hassan,DEPARTMENT-004,Customer Support,Commercial Services,POS-027,Senior Support Executive,Senior Support Executive,Mid,Professional/Mid-level,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,76.9,Meets Expectations,75.72,74.51,77.15,0.16,Stable,Attendance and Punctuality,90.83,Ticket Resolution Target Achievement,83.16,Learning and Adaptability,66.74,Teamwork and Professional Communication,40.0,0.89,70.3,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP028,Salman Aziz,DEPARTMENT-003,Sales,Commercial Services,POS-028,Senior Account Manager,Senior Account Manager,Senior,Senior/Lead,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,85.55,Strong,85.46,84.39,86.22,0.51,Stable,Sales Target Achievement,95.68,Lead Conversion and Customer Retention Score,93.61,Mentoring and Knowledge Transfer,72.28,Teamwork and Professional Communication,56.93,0.92,87.2,Strong,Calculated - Pending Manager Review,2026-08-01
EMP029,Ali Saleem,DEPARTMENT-005,Engineering,Technology and Innovation,POS-029,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,85.44,Strong,84.94,83.34,85.74,-0.25,Stable,Attendance and Punctuality,96.06,Sprint Delivery Achievement,91.32,Escaped Defects per Release,77.25,Teamwork and Professional Communication,67.8,0.89,82.3,Strong,Calculated - Pending Manager Review,2026-08-01
EMP030,Hamza Ahmad,DEPARTMENT-002,Finance,Corporate Services,POS-030,Senior Financial Analyst,Senior Financial Analyst,Senior,Senior/Lead,PT-FIN-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,89.84,Strong,89.9,89.09,90.63,0.78,Stable,Reporting and Reconciliation Target Achievement,100.0,Attendance and Punctuality,95.97,Mentoring and Knowledge Transfer,77.66,Teamwork and Professional Communication,70.81,0.92,87.4,Strong,Calculated - Pending Manager Review,2026-08-01
EMP031,Sadia Haider,DEPARTMENT-005,Engineering,Technology and Innovation,POS-031,Senior Software Engineer,Senior Software Engineer,Senior,Senior/Lead,PT-ENG-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,89.26,Strong,88.81,87.82,89.75,0.09,Stable,Attendance and Punctuality,97.86,Sprint Delivery Achievement,96.55,Mentoring and Knowledge Transfer,76.76,Teamwork and Professional Communication,70.63,0.92,88.6,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP032,Laiba Mahmood,DEPARTMENT-003,Sales,Commercial Services,POS-032,Sales Executive,Sales Executive,Junior,Junior/Assistant,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,75.81,Meets Expectations,75.57,74.71,76.68,0.37,Stable,Attendance and Punctuality,99.67,Lead Conversion and Customer Retention Score,83.78,Teamwork and Professional Communication,63.43,Collection Achievement,56.55,0.88,76.1,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP033,Ali Chaudhry,DEPARTMENT-007,IT,Technology and Innovation,POS-033,IT Support Engineer,Junior IT Engineer,Junior,Junior/Assistant,PT-IT-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,89.46,Strong,89.68,89.12,90.63,0.17,Stable,IT Service Delivery Target Achievement,100.0,Responsibility and Deadline Discipline,97.55,System Availability and Change Success,81.07,Teamwork and Professional Communication,59.85,0.89,92.2,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP034,Nida Sheikh,DEPARTMENT-003,Sales,Commercial Services,POS-034,Sales Executive,Sales Executive,Junior,Junior/Assistant,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,76.88,Meets Expectations,76.55,75.61,77.52,-0.1,Stable,Attendance and Punctuality,95.54,Sales Target Achievement,90.61,Collection Achievement,56.26,Teamwork and Professional Communication,53.03,0.87,78.2,Strong,Calculated - Pending Manager Review,2026-08-01
EMP035,Shahbaz Malik,DEPARTMENT-005,Engineering,Technology and Innovation,POS-035,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,81.75,Strong,81.23,80.02,82.65,0.29,Stable,Attendance and Punctuality,96.26,Sprint Delivery Achievement,87.5,Escaped Defects per Release,72.5,Teamwork and Professional Communication,58.01,0.89,77.6,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP036,Zoya Chaudhry,DEPARTMENT-003,Sales,Commercial Services,POS-036,Sales Executive,Sales Executive,Junior,Junior/Assistant,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,82.28,Strong,81.48,81.06,82.28,0.3,Stable,Attendance and Punctuality,97.05,Lead Conversion and Customer Retention Score,92.04,Teamwork and Professional Communication,72.08,Collection Achievement,60.13,0.88,83.8,Strong,Calculated - Pending Manager Review,2026-08-01
EMP037,Zara Mahmood,DEPARTMENT-007,IT,Technology and Innovation,POS-037,Systems Administrator,IT Engineer,Mid,Professional/Mid-level,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,78.52,Meets Expectations,78.05,77.18,79.07,0.79,Stable,Attendance and Punctuality,98.52,Incident Resolution within SLA,85.26,System Availability and Change Success,72.76,Teamwork and Professional Communication,58.43,0.89,72.7,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP038,Ali Mahmood,DEPARTMENT-004,Customer Support,Commercial Services,POS-038,Senior Support Executive,Senior Support Executive,Mid,Professional/Mid-level,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,86.54,Strong,87.25,86.31,88.2,-0.62,Stable,Ticket Resolution Target Achievement,97.88,Attendance and Punctuality,96.16,Learning and Adaptability,74.9,Teamwork and Professional Communication,50.38,0.9,82.6,Strong,Calculated - Pending Manager Review,2026-08-01
EMP039,Kamran Hussain,DEPARTMENT-006,Operations,Enterprise Operations,POS-039,Operations Officer,Operations Officer,Junior,Junior/Assistant,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,81.27,Strong,81.44,80.09,83.12,-0.39,Stable,Attendance and Punctuality,97.55,Operational SLA Compliance,89.16,Process Accuracy,74.43,Teamwork and Professional Communication,58.79,0.88,79.7,Strong,Calculated - Pending Manager Review,2026-08-01
EMP040,Ahmad Sheikh,DEPARTMENT-004,Customer Support,Commercial Services,POS-040,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,80.15,Strong,80.47,79.18,81.76,0.35,Stable,Attendance and Punctuality,96.66,Ticket Resolution Target Achievement,88.64,Learning and Adaptability,70.99,Teamwork and Professional Communication,52.95,0.88,77.7,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP041,Omer Nawaz,DEPARTMENT-006,Operations,Enterprise Operations,POS-041,Operations Officer,Operations Officer,Junior,Junior/Assistant,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,75.38,Meets Expectations,74.84,74.19,75.67,-0.18,Stable,Attendance and Punctuality,96.02,Operational SLA Compliance,82.91,Process Accuracy,66.57,Teamwork and Professional Communication,58.39,0.86,73.0,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP042,Amna Aslam,DEPARTMENT-004,Customer Support,Commercial Services,POS-042,Senior Support Executive,Senior Support Executive,Mid,Professional/Mid-level,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,82.64,Strong,81.97,80.54,83.83,1.7,Stable,Attendance and Punctuality,94.4,Ticket Resolution Target Achievement,87.62,Learning and Adaptability,77.07,Teamwork and Professional Communication,53.85,0.89,77.1,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP043,Amir Javed,DEPARTMENT-006,Operations,Enterprise Operations,POS-043,Operations Analyst,Operations Specialist,Mid,Professional/Mid-level,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,80.03,Strong,79.67,78.23,80.75,-0.32,Stable,Attendance and Punctuality,94.46,Operational SLA Compliance,86.51,Process Accuracy,72.35,Teamwork and Professional Communication,58.36,0.89,75.0,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP044,Hafsa Khan,DEPARTMENT-002,Finance,Corporate Services,POS-044,Financial Analyst,Financial Analyst,Mid,Professional/Mid-level,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,89.27,Strong,88.9,88.14,89.45,-0.07,Stable,Attendance and Punctuality,99.15,Reporting and Reconciliation Target Achievement,99.08,Learning and Adaptability,73.07,Teamwork and Professional Communication,56.34,0.9,82.6,Strong,Calculated - Pending Manager Review,2026-08-01
EMP045,Saad Ahmad,DEPARTMENT-006,Operations,Enterprise Operations,POS-045,Operations Officer,Operations Officer,Junior,Junior/Assistant,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,92.34,Exceptional,91.81,91.02,92.43,0.6,Stable,Operational Throughput Target Achievement,100.0,Operational SLA Compliance,99.72,Learning and Adaptability,86.87,Teamwork and Professional Communication,70.1,0.89,95.1,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP046,Salman Iqbal,DEPARTMENT-004,Customer Support,Commercial Services,POS-046,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,81.88,Strong,81.77,80.57,83.18,0.62,Stable,Attendance and Punctuality,98.54,Support SLA Compliance,93.4,Learning and Adaptability,63.31,Teamwork and Professional Communication,51.31,0.88,78.9,Strong,Calculated - Pending Manager Review,2026-08-01
EMP047,Mahnoor Iqbal,DEPARTMENT-002,Finance,Corporate Services,POS-047,Senior Financial Analyst,Senior Financial Analyst,Senior,Senior/Lead,PT-FIN-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,83.3,Strong,82.76,81.32,83.55,0.56,Stable,Attendance and Punctuality,96.63,Reporting and Reconciliation Target Achievement,89.43,Mentoring and Knowledge Transfer,71.11,Teamwork and Professional Communication,65.32,0.92,80.7,Strong,Calculated - Pending Manager Review,2026-08-01
EMP048,Sehrish Shah,DEPARTMENT-006,Operations,Enterprise Operations,POS-048,Operations Officer,Operations Officer,Junior,Junior/Assistant,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,79.04,Meets Expectations,79.13,78.51,80.42,-0.07,Stable,Attendance and Punctuality,95.17,Operational Throughput Target Achievement,86.82,Learning and Adaptability,67.26,Teamwork and Professional Communication,62.54,0.87,77.4,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP049,Sara Aslam,DEPARTMENT-003,Sales,Commercial Services,POS-049,Sales Executive,Sales Executive,Junior,Junior/Assistant,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,80.78,Strong,79.96,79.01,80.82,0.32,Stable,Attendance and Punctuality,93.39,Sales Target Achievement,92.06,Teamwork and Professional Communication,64.43,Collection Achievement,59.49,0.88,82.4,Strong,Calculated - Pending Manager Review,2026-08-01
EMP050,Mohsin Butt,DEPARTMENT-002,Finance,Corporate Services,POS-050,Finance Officer,Finance Officer,Junior,Junior/Assistant,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,74.72,Meets Expectations,74.46,72.85,75.59,-0.15,Stable,Attendance and Punctuality,97.11,Financial Reporting Turnaround Time,80.6,Financial Transaction and Reconciliation Accuracy,66.14,Teamwork and Professional Communication,61.99,0.87,72.1,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP051,Asad Ahmad,DEPARTMENT-007,IT,Technology and Innovation,POS-051,Senior Systems Engineer,Senior IT Engineer,Senior,Senior/Lead,PT-IT-SENIOR,PC-2025-2026-ANNUAL,2026-08-01,88.25,Strong,87.68,86.51,88.59,1.11,Stable,Attendance and Punctuality,98.11,Learning and Adaptability,97.48,Mentoring and Knowledge Transfer,80.9,Teamwork and Professional Communication,72.23,0.91,85.7,Strong,Calculated - Pending Manager Review,2026-08-01
EMP052,Raza Hassan,DEPARTMENT-004,Customer Support,Commercial Services,POS-052,Customer Support Representative,Support Executive,Junior,Junior/Assistant,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,77.58,Meets Expectations,78.66,77.58,79.64,-0.21,Stable,Attendance and Punctuality,96.68,Support SLA Compliance,86.64,Learning and Adaptability,60.5,Teamwork and Professional Communication,55.6,0.87,77.2,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP053,Zeeshan Abbasi,DEPARTMENT-001,HR,Corporate Services,POS-053,HR Officer,HR Officer,Junior,Junior/Assistant,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,78.26,Meets Expectations,78.89,77.8,80.23,-0.08,Stable,Attendance and Punctuality,96.98,Learning and Adaptability,85.3,Teamwork and Professional Communication,71.06,HR Data and Payroll Accuracy,66.06,0.88,76.7,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP054,Waqas Aslam,DEPARTMENT-005,Engineering,Technology and Innovation,POS-054,Software Engineer I,Junior Software Engineer,Junior,Junior/Assistant,PT-ENG-JUNIOR,PC-2025-2026-ANNUAL,2026-08-01,88.8,Strong,88.33,87.48,89.09,0.56,Stable,Sprint Delivery Achievement,100.0,Production Change Success Rate,93.49,Escaped Defects per Release,79.75,Teamwork and Professional Communication,63.14,0.89,89.0,Exceptional,Calculated - Pending Manager Review,2026-08-01
EMP055,Sadia Mahmood,DEPARTMENT-005,Engineering,Technology and Innovation,POS-055,Software Engineer II,Software Engineer,Mid,Professional/Mid-level,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,79.81,Meets Expectations,79.89,78.98,81.05,0.58,Stable,Attendance and Punctuality,95.95,Sprint Delivery Achievement,86.96,Learning and Adaptability,67.24,Teamwork and Professional Communication,60.62,0.88,74.8,Meets Expectations,Calculated - Pending Manager Review,2026-08-01
EMP056,Saba Hassan,DEPARTMENT-006,Operations,Enterprise Operations,POS-056,Operations Analyst,Operations Specialist,Mid,Professional/Mid-level,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,2026-08-01,89.11,Strong,89.14,87.7,90.18,0.23,Stable,Operational Throughput Target Achievement,100.0,Attendance and Punctuality,99.5,Learning and Adaptability,67.67,Teamwork and Professional Communication,56.03,0.9,83.0,Strong,Calculated - Pending Manager Review,2026-08-01
