Employee_ID,Employee_Name,Department_ID,Department,Business_Unit,Organizational_Unit_ID,Position_ID,Position_Title,Designation,Job_Level,Career_Level,Role_Band,Management_Tier,Manager_Flag,Measurement_Scope,Performance_Template_ID,Performance_Cycle_ID,Mapping_Status,Effective_Start_Date,Effective_End_Date,Data_As_Of_Date
EMP021,Usman Khan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,POS-021,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP022,Laiba Raza,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-022,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP023,Fatima Masood,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,POS-023,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP024,Fatima Arif,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-024,Systems Administrator,IT Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP025,Raza Mughal,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-025,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP026,Anum Qureshi,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,POS-026,Operations Manager,Operations Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-OPS-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP027,Akbar Hassan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,POS-027,Senior Support Executive,Senior Support Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP028,Salman Aziz,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-028,Senior Account Manager,Senior Account Manager,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP029,Ali Saleem,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,POS-029,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP030,Hamza Ahmad,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-030,Senior Financial Analyst,Senior Financial Analyst,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-FIN-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP031,Sadia Haider,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-031,Senior Software Engineer,Senior Software Engineer,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-ENG-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP032,Laiba Mahmood,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-032,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP033,Ali Chaudhry,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-033,IT Support Engineer,Junior IT Engineer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-IT-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP034,Nida Sheikh,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-034,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP035,Shahbaz Malik,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,POS-035,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP036,Zoya Chaudhry,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,POS-036,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP037,Zara Mahmood,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,POS-037,Systems Administrator,IT Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP038,Ali Mahmood,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-038,Senior Support Executive,Senior Support Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP039,Kamran Hussain,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-039,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP040,Ahmad Sheikh,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-040,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP041,Omer Nawaz,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,POS-041,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP042,Amna Aslam,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,POS-042,Senior Support Executive,Senior Support Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP043,Amir Javed,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,POS-043,Operations Analyst,Operations Specialist,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP044,Hafsa Khan,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-044,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP045,Saad Ahmad,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-045,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP046,Salman Iqbal,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-046,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP047,Mahnoor Iqbal,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-047,Senior Financial Analyst,Senior Financial Analyst,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-FIN-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP048,Sehrish Shah,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-048,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP049,Sara Aslam,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-049,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP050,Mohsin Butt,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-050,Finance Officer,Finance Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP051,Asad Ahmad,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-051,Senior Systems Engineer,Senior IT Engineer,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-IT-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP052,Raza Hassan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-052,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP053,Zeeshan Abbasi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-053,HR Officer,HR Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP054,Waqas Aslam,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,POS-054,Software Engineer I,Junior Software Engineer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-ENG-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP055,Sadia Mahmood,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-055,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP056,Saba Hassan,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,POS-056,Operations Analyst,Operations Specialist,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP057,Raza Haider,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-057,IT Support Engineer,Junior IT Engineer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-IT-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP058,Shahid Malik,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-058,Senior Software Engineer,Senior Software Engineer,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-ENG-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP059,Anum Masood,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-059,Senior Account Manager,Senior Account Manager,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP060,Mohsin Yousaf,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,POS-060,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP061,Asad Bashir,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-061,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP062,Fahad Dar,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-062,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP063,Ahmad Tariq,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,POS-063,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP064,Hassan Sheikh,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-064,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP065,Amna Gill,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-065,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP066,Ali Gill,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-066,Senior HR Specialist,Senior HR Specialist,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-HR-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP067,Nida Hameed,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,POS-067,Operations Manager,Operations Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-OPS-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP068,Sidra Hussain,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,POS-068,Customer Support Manager,Customer Support Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-CS-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP069,Mehwish Hussain,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-069,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP070,Bilal Saeed,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,POS-070,Engineering Lead,Engineering Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP071,Eman Abbasi,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-071,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP072,Fahad Hassan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,POS-072,Support Team Lead,Team Lead - Customer Support,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-CS-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP073,Ali Yousaf,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-073,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP074,Omer Hameed,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-074,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP075,Asad Raza,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-075,Operations Analyst,Operations Specialist,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP076,Fahad Shah,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-076,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP077,Ahmad Awan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-077,Support Team Lead,Team Lead - Customer Support,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-CS-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP078,Ahmad Nawaz,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,POS-078,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP079,Hina Aslam,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-079,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP080,Ali Mughal,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,POS-080,Engineering Lead,Engineering Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
