Learning_Record_ID,Employee_ID,Employee_Name,Department_ID,Department,Position_ID,Position_Title,Role_Band,Course_ID,Course_Name,Course_Level,Skill_ID,Skill_Name,Current_Proficiency_Level,Current_Skill_Score,Certification_Status,Learning_Status,Completion_Date,Position_Required_Skill,History_Basis,Record_Source,Is_Actual_LMS_Record,Data_As_Of_Date
LEARN-EMP587-COURSE-S046-ADV,EMP587,Noman Baig,DEPARTMENT-014,Production & Manufacturing,POS-573,Production Manager,Manager/Head,COURSE-S046-ADV,Advanced Leadership for Professional Growth,Advanced,S046,Leadership,5,99.3,Certified,Completed,2025-04-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=99.3, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP587-COURSE-S043-ADV,EMP587,Noman Baig,DEPARTMENT-014,Production & Manufacturing,POS-573,Production Manager,Manager/Head,COURSE-S043-ADV,Advanced Teamwork for Professional Growth,Advanced,S043,Teamwork,5,100.0,Not Required,Completed,2025-05-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=100.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP587-COURSE-S091-PRC,EMP587,Noman Baig,DEPARTMENT-014,Production & Manufacturing,POS-573,Production Manager,Manager/Head,COURSE-S091-PRC,Applied Lean Manufacturing in Operations,Practitioner,S091,Lean Manufacturing,3,89.0,Not Required,Completed,2026-08-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=3/5, skill score=89.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP365-COURSE-S045-ADV,EMP365,Noor Raza,DEPARTMENT-009,Training & Development,POS-356,Training Manager,Manager/Head,COURSE-S045-ADV,Advanced Stakeholder Management for Professional Growth,Advanced,S045,Stakeholder Management,5,93.9,Certified,Completed,2025-03-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.9, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP365-COURSE-S047-ADV,EMP365,Noor Raza,DEPARTMENT-009,Training & Development,POS-356,Training Manager,Manager/Head,COURSE-S047-ADV,Advanced Coaching & Mentoring for Professional Growth,Advanced,S047,Coaching & Mentoring,5,89.9,Not Required,Completed,2024-05-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=89.9, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP365-COURSE-S063-PRC,EMP365,Noor Raza,DEPARTMENT-009,Training & Development,POS-356,Training Manager,Manager/Head,COURSE-S063-PRC,Applied Facilitation for Learning Delivery,Practitioner,S063,Facilitation,3,78.3,Not Required,Completed,2025-01-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=3/5, skill score=78.3, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP507-COURSE-S078-ADV,EMP507,Minal Malik,DEPARTMENT-012,Procurement & Supply Chain,POS-495,Senior Procurement Specialist,Senior/Lead,COURSE-S078-ADV,Advanced Supplier Management and Decision Practice,Advanced,S078,Supplier Management,5,100.0,Not Required,Completed,2025-05-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=100.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP507-COURSE-S076-PRC,EMP507,Minal Malik,DEPARTMENT-012,Procurement & Supply Chain,POS-495,Senior Procurement Specialist,Senior/Lead,COURSE-S076-PRC,Applied Strategic Sourcing,Practitioner,S076,Strategic Sourcing,4,81.6,Not Required,Completed,2025-02-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=4/5, skill score=81.6, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP682-COURSE-S049-ADV,EMP682,Hira Iqbal,DEPARTMENT-016,Research & Development,POS-666,Research and Development Manager,Manager/Head,COURSE-S049-ADV,Advanced Data Analysis and Decision Practice,Advanced,S049,Data Analysis,5,93.5,Certified,Completed,2026-06-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.5, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP682-COURSE-S099-PRC,EMP682,Hira Iqbal,DEPARTMENT-016,Research & Development,POS-666,Research and Development Manager,Manager/Head,COURSE-S099-PRC,Applied Innovation Management for R&D,Practitioner,S099,Innovation Management,3,81.0,Planned,Completed,2026-05-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=3/5, skill score=81.0, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP682-COURSE-S044-ADV,EMP682,Hira Iqbal,DEPARTMENT-016,Research & Development,POS-666,Research and Development Manager,Manager/Head,COURSE-S044-ADV,Advanced Problem Solving for Professional Growth,Advanced,S044,Problem Solving,5,100.0,Not Required,Completed,2025-02-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=100.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP146-COURSE-S029-ADV,EMP146,Talha Khan,DEPARTMENT-002,Finance,POS-146,Financial Analyst,Professional/Mid-level,COURSE-S029-ADV,Advanced Advanced Excel and Decision Practice,Advanced,S029,Advanced Excel,4,83.6,Certified,Completed,2024-05-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=83.6, certification=Certified, skill status=Verified.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP146-COURSE-S026-PRC,EMP146,Talha Khan,DEPARTMENT-002,Finance,POS-146,Financial Analyst,Professional/Mid-level,COURSE-S026-PRC,Applied Accounting & Reconciliation,Practitioner,S026,Accounting & Reconciliation,4,73.7,Not Required,Completed,2025-04-15,Yes,"Derived from actual role=Professional/Mid-level, skill proficiency=4/5, skill score=73.7, certification=Not Required, skill status=Verified.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP368-COURSE-S061-PRC,EMP368,Saba Hashmi,DEPARTMENT-009,Training & Development,POS-359,Senior Trainer,Senior/Lead,COURSE-S061-PRC,Applied Training Needs Analysis for Learning Delivery,Practitioner,S061,Training Needs Analysis,5,76.4,Certified,Completed,2026-02-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=76.4, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP368-COURSE-S064-ADV,EMP368,Saba Hashmi,DEPARTMENT-009,Training & Development,POS-359,Senior Trainer,Senior/Lead,COURSE-S064-ADV,Advanced Learning Evaluation and Learning Impact,Advanced,S064,Learning Evaluation,4,88.5,Not Required,Completed,2026-08-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=4/5, skill score=88.5, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP230-COURSE-S026-ADV,EMP230,Saba Nadeem,DEPARTMENT-002,Finance,POS-228,Finance Manager,Manager/Head,COURSE-S026-ADV,Advanced Accounting & Reconciliation and Decision Practice,Advanced,S026,Accounting & Reconciliation,5,99.1,Not Required,Completed,2025-01-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=99.1, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP230-COURSE-S027-ADV,EMP230,Saba Nadeem,DEPARTMENT-002,Finance,POS-228,Finance Manager,Manager/Head,COURSE-S027-ADV,Advanced Budgeting & Forecasting and Decision Practice,Advanced,S027,Budgeting & Forecasting,5,100.0,Not Required,Completed,2025-04-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=100.0, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP230-COURSE-S028-ADV,EMP230,Saba Nadeem,DEPARTMENT-002,Finance,POS-228,Finance Manager,Manager/Head,COURSE-S028-ADV,Advanced Regulatory Reporting and Decision Practice,Advanced,S028,Regulatory Reporting,5,97.4,Not Required,Completed,2025-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=97.4, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP278-COURSE-S023-ADV,EMP278,Kinza Mirza,DEPARTMENT-006,Operations,POS-272,Operations Manager,Manager/Head,COURSE-S023-ADV,Advanced Risk & Controls and Decision Practice,Advanced,S023,Risk & Controls,5,92.6,Certified,Completed,2024-07-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=92.6, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP278-COURSE-S021-ADV,EMP278,Kinza Mirza,DEPARTMENT-006,Operations,POS-272,Operations Manager,Manager/Head,COURSE-S021-ADV,Advanced Process Improvement and Decision Practice,Advanced,S021,Process Improvement,4,85.6,Not Required,Completed,2025-03-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=4/5, skill score=85.6, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP278-COURSE-S044-ADV,EMP278,Kinza Mirza,DEPARTMENT-006,Operations,POS-272,Operations Manager,Manager/Head,COURSE-S044-ADV,Advanced Problem Solving for Professional Growth,Advanced,S044,Problem Solving,5,93.5,Planned,Completed,2024-02-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.5, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP680-COURSE-S096-ADV,EMP680,Ayesha Dar,DEPARTMENT-016,Research & Development,POS-664,Research and Development Manager,Manager/Head,COURSE-S096-ADV,Advanced Research Methodology and Innovation Practice,Advanced,S096,Research Methodology,4,83.7,Not Required,Completed,2025-04-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=4/5, skill score=83.7, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP680-COURSE-S044-ADV,EMP680,Ayesha Dar,DEPARTMENT-016,Research & Development,POS-664,Research and Development Manager,Manager/Head,COURSE-S044-ADV,Advanced Problem Solving for Professional Growth,Advanced,S044,Problem Solving,5,98.2,Planned,Completed,2024-07-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=98.2, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP680-COURSE-S046-ADV,EMP680,Ayesha Dar,DEPARTMENT-016,Research & Development,POS-664,Research and Development Manager,Manager/Head,COURSE-S046-ADV,Advanced Leadership for Professional Growth,Advanced,S046,Leadership,5,88.2,Not Required,Completed,2025-01-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=88.2, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP532-COURSE-S078-FND,EMP532,Nida Habib,DEPARTMENT-012,Procurement & Supply Chain,POS-520,Procurement Assistant,Junior/Assistant,COURSE-S078-FND,Supplier Management Fundamentals,Foundation,S078,Supplier Management,2,60.6,Certified,Completed,2025-01-15,Yes,"Derived from actual role=Junior/Assistant, skill proficiency=2/5, skill score=60.6, certification=Certified, skill status=Developing.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP455-COURSE-S071-ADV,EMP455,Adnan Saeed,DEPARTMENT-011,Legal & Compliance,POS-444,Legal and Compliance Manager,Manager/Head,COURSE-S071-ADV,Advanced Contract Review and Decision Practice,Advanced,S071,Contract Review,5,98.7,Certified,Completed,2025-03-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=98.7, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP455-COURSE-S075-PRC,EMP455,Adnan Saeed,DEPARTMENT-011,Legal & Compliance,POS-444,Legal and Compliance Manager,Manager/Head,COURSE-S075-PRC,Applied Case Management,Practitioner,S075,Case Management,3,73.6,Certified,Completed,2026-05-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=3/5, skill score=73.6, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP455-COURSE-S042-ADV,EMP455,Adnan Saeed,DEPARTMENT-011,Legal & Compliance,POS-444,Legal and Compliance Manager,Manager/Head,COURSE-S042-ADV,Advanced Communication for Professional Growth,Advanced,S042,Communication,5,93.2,Not Required,Completed,2025-01-15,No,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.2, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP533-COURSE-S077-PRC,EMP533,Nida Nadeem,DEPARTMENT-012,Procurement & Supply Chain,POS-521,Procurement Assistant,Junior/Assistant,COURSE-S077-PRC,Applied Purchase Order Management,Practitioner,S077,Purchase Order Management,4,79.5,Planned,Completed,2024-03-15,Yes,"Derived from actual role=Junior/Assistant, skill proficiency=4/5, skill score=79.5, certification=Planned, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP597-COURSE-S090-ADV,EMP597,Raza Ali,DEPARTMENT-014,Production & Manufacturing,POS-583,Senior Production Supervisor,Senior/Lead,COURSE-S090-ADV,Advanced Preventive Maintenance and Continuous Improvement,Advanced,S090,Preventive Maintenance,4,86.0,Certified,Completed,2026-04-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=4/5, skill score=86.0, certification=Certified, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP597-COURSE-S088-ADV,EMP597,Raza Ali,DEPARTMENT-014,Production & Manufacturing,POS-583,Senior Production Supervisor,Senior/Lead,COURSE-S088-ADV,Advanced Production Planning and Continuous Improvement,Advanced,S088,Production Planning,5,97.4,Not Required,Completed,2025-08-15,Yes,"Derived from actual role=Senior/Lead, skill proficiency=5/5, skill score=97.4, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP410-COURSE-S067-ADV,EMP410,Asad Rehman,DEPARTMENT-010,Administration & Facilities,POS-400,Administration Manager,Manager/Head,COURSE-S067-ADV,Advanced Facilities Management and Decision Practice,Advanced,S067,Facilities Management,5,93.4,Not Required,Completed,2026-02-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=5/5, skill score=93.4, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
LEARN-EMP410-COURSE-S070-PRC,EMP410,Asad Rehman,DEPARTMENT-010,Administration & Facilities,POS-400,Administration Manager,Manager/Head,COURSE-S070-PRC,Applied Records Management,Practitioner,S070,Records Management,4,68.9,Not Required,Completed,2025-03-15,Yes,"Derived from actual role=Manager/Head, skill proficiency=4/5, skill score=68.9, certification=Not Required, skill status=Current.",DERIVED_DEMO_FROM_EXISTING_EMPLOYEE_DATA,No,2026-08-01
