Employee_ID,Employee_Name,Department,Position_ID,Designation,Job_Level,Tenure_Months,Years_in_Company,Total_Experience_Years,Relevant_Experience_Years,Years_in_Current_Role,Projects_Completed,High_Impact_Projects,Previous_Same_Role,Previous_Department_Experience,Leadership_Experience_Years,Cross_Functional_Projects,Project_Success_Rate_pct,Experience_Score,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP011,Khurram Iqbal,Sales,POS-011,Sales Manager,Lead/Manager,180,15.0,25.0,22.5,0.8,40,10,Yes,No,4.6,16,83.2,97.5,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP012,Danish Masood,HR,POS-012,HR Manager,Lead/Manager,102,8.5,19.8,13.3,4.6,34,9,Yes,No,3.4,13,83.9,97.6,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP013,Anum Ahmad,HR,POS-013,HR Specialist,Mid,52,4.3,9.4,7.6,0.8,16,5,No,Yes,0.0,6,95.2,99.3,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP014,Shahid Ali,Engineering,POS-014,Software Engineer,Mid,23,1.9,5.3,3.5,1.8,11,2,Yes,No,0.0,4,79.2,93.0,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP015,Anum Rehman,Engineering,POS-015,Engineering Manager,Lead/Manager,110,9.2,19.0,17.2,2.2,40,9,No,Yes,7.1,8,82.2,97.3,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP016,Khurram Gill,Sales,POS-016,Senior Sales Executive,Mid,68,5.7,8.5,6.8,1.4,15,3,No,Yes,0.0,4,79.0,96.8,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP017,Amir Haider,Customer Support,POS-017,Support Executive,Junior,22,1.8,3.6,2.7,1.2,9,2,No,Yes,0.0,3,90.7,98.6,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP018,Sidra Tariq,Engineering,POS-018,Software Engineer,Mid,61,5.1,6.6,5.4,2.6,16,3,No,Yes,0.0,6,79.1,96.9,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP019,Hina Hussain,IT,POS-019,IT Engineer,Mid,15,1.2,4.3,3.6,1.0,15,5,Yes,Yes,0.0,4,86.1,97.9,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP020,Waqas Khan,Customer Support,POS-020,Support Executive,Junior,36,3.0,5.0,4.2,3.0,7,2,No,No,0.0,1,83.9,97.6,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP021,Usman Khan,Customer Support,POS-021,Support Executive,Junior,36,3.0,3.8,2.7,3.0,4,1,No,No,0.0,1,80.2,88.7,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP022,Laiba Raza,Sales,POS-022,Senior Sales Executive,Mid,70,5.8,8.6,7.4,1.9,20,3,No,Yes,0.0,5,85.2,97.8,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP023,Fatima Masood,Operations,POS-023,Operations Officer,Junior,18,1.5,3.0,2.6,1.5,3,1,Yes,Yes,0.0,1,77.7,84.2,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP024,Fatima Arif,IT,POS-024,IT Engineer,Mid,68,5.7,7.7,6.9,2.9,15,2,No,No,0.0,3,82.0,97.3,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP025,Raza Mughal,Finance,POS-025,Financial Analyst,Mid,29,2.4,6.1,4.7,2.3,9,2,No,No,0.0,3,76.7,88.8,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP026,Anum Qureshi,Operations,POS-026,Operations Manager,Lead/Manager,143,11.9,23.2,18.6,4.8,40,13,Yes,No,7.5,7,82.0,97.3,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP027,Akbar Hassan,Customer Support,POS-027,Senior Support Executive,Mid,57,4.8,9.4,6.9,4.1,17,6,Yes,Yes,0.0,6,79.8,97.0,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP028,Salman Aziz,Sales,POS-028,Senior Account Manager,Senior,40,3.3,8.4,7.3,2.6,20,3,Yes,Yes,1.9,6,94.9,99.2,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP029,Ali Saleem,Engineering,POS-029,Software Engineer,Mid,58,4.8,6.4,5.5,2.6,10,3,Yes,No,0.0,3,81.7,91.5,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP030,Hamza Ahmad,Finance,POS-030,Senior Financial Analyst,Senior,128,10.7,15.7,13.6,1.3,32,5,No,No,1.2,12,88.6,98.3,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP031,Sadia Haider,Engineering,POS-031,Senior Software Engineer,Senior,48,4.0,11.6,8.4,0.8,19,2,Yes,Yes,0.3,7,91.8,87.3,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP032,Laiba Mahmood,Sales,POS-032,Sales Executive,Junior,8,0.7,2.7,2.3,0.7,6,2,No,Yes,0.0,2,82.8,97.4,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP033,Ali Chaudhry,IT,POS-033,Junior IT Engineer,Junior,11,0.9,1.0,0.8,0.9,7,2,No,No,0.0,2,86.5,98.0,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP034,Nida Sheikh,Sales,POS-034,Sales Executive,Junior,34,2.8,4.8,3.5,2.2,11,2,Yes,Yes,0.0,2,79.6,96.9,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP035,Shahbaz Malik,Engineering,POS-035,Software Engineer,Mid,45,3.8,8.1,6.3,1.4,13,3,No,Yes,0.0,4,87.6,98.1,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP036,Zoya Chaudhry,Sales,POS-036,Sales Executive,Junior,5,0.4,0.6,0.5,0.3,3,1,No,No,0.0,1,85.8,84.7,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP037,Zara Mahmood,IT,POS-037,IT Engineer,Mid,46,3.8,5.7,4.5,2.3,12,2,Yes,Yes,0.0,4,92.0,96.9,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP038,Ali Mahmood,Customer Support,POS-038,Senior Support Executive,Mid,38,3.2,7.2,6.3,2.0,20,5,No,Yes,0.0,6,85.2,97.8,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP039,Kamran Hussain,Operations,POS-039,Operations Officer,Junior,8,0.7,1.8,1.1,0.7,4,1,No,Yes,0.0,2,88.5,89.9,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP040,Ahmad Sheikh,Customer Support,POS-040,Support Executive,Junior,36,3.0,5.0,3.9,3.0,9,1,No,No,0.0,3,79.2,96.9,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP041,Omer Nawaz,Operations,POS-041,Operations Officer,Junior,12,1.0,3.2,2.6,1.0,5,1,Yes,Yes,0.0,2,71.3,91.5,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP042,Amna Aslam,Customer Support,POS-042,Senior Support Executive,Mid,43,3.6,6.1,5.3,2.9,18,5,No,Yes,0.0,7,75.7,96.3,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP043,Amir Javed,Operations,POS-043,Operations Specialist,Mid,55,4.6,9.8,8.4,1.1,18,6,No,No,0.0,4,88.0,98.2,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP044,Hafsa Khan,Finance,POS-044,Financial Analyst,Mid,36,3.0,6.5,5.0,2.2,16,3,Yes,Yes,0.0,5,88.3,98.2,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP045,Saad Ahmad,Operations,POS-045,Operations Officer,Junior,11,0.9,2.4,1.9,0.9,9,2,No,Yes,0.0,2,89.5,98.4,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP046,Salman Iqbal,Customer Support,POS-046,Support Executive,Junior,35,2.9,3.2,2.7,1.3,5,1,No,No,0.0,1,90.0,94.3,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP047,Mahnoor Iqbal,Finance,POS-047,Senior Financial Analyst,Senior,99,8.2,14.8,10.6,0.5,26,5,Yes,Yes,1.7,5,89.9,98.5,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP048,Sehrish Shah,Operations,POS-048,Operations Officer,Junior,10,0.8,2.5,1.8,0.8,6,2,Yes,Yes,0.0,2,74.0,96.1,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP049,Sara Aslam,Sales,POS-049,Sales Executive,Junior,23,1.9,4.1,2.7,1.2,10,3,Yes,Yes,0.0,2,83.8,97.6,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP050,Mohsin Butt,Finance,POS-050,Finance Officer,Junior,10,0.8,2.8,2.3,0.8,2,0,Yes,Yes,0.0,1,78.9,80.2,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP051,Asad Ahmad,IT,POS-051,Senior IT Engineer,Senior,122,10.2,16.9,14.2,0.8,33,8,No,Yes,2.1,12,88.5,98.3,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP052,Raza Hassan,Customer Support,POS-052,Support Executive,Junior,36,3.0,3.1,2.9,3.0,5,1,No,No,0.0,2,84.8,93.6,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP053,Zeeshan Abbasi,HR,POS-053,HR Officer,Junior,34,2.8,3.9,3.1,0.4,5,1,No,No,0.0,1,77.7,92.5,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP054,Waqas Aslam,Engineering,POS-054,Junior Software Engineer,Junior,8,0.7,0.7,0.6,0.7,4,1,No,No,0.0,1,83.8,89.2,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP055,Sadia Mahmood,Engineering,POS-055,Software Engineer,Mid,10,0.8,4.6,3.5,0.8,11,1,No,Yes,0.0,4,85.9,94.0,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP056,Saba Hassan,Operations,POS-056,Operations Specialist,Mid,51,4.2,9.2,6.0,3.5,19,4,No,No,0.0,3,87.4,98.1,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP057,Raza Haider,IT,POS-057,Junior IT Engineer,Junior,7,0.6,1.0,0.7,0.6,4,1,No,No,0.0,1,81.7,88.9,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP058,Shahid Malik,Engineering,POS-058,Senior Software Engineer,Senior,113,9.4,16.9,13.5,4.0,32,4,Yes,Yes,0.8,10,82.4,94.4,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP059,Anum Masood,Sales,POS-059,Senior Account Manager,Senior,122,10.2,14.7,12.4,4.1,33,5,Yes,Yes,1.8,8,80.5,97.1,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP060,Mohsin Yousaf,Sales,POS-060,Sales Executive,Junior,15,1.2,3.5,2.2,1.2,4,1,Yes,Yes,0.0,1,85.2,89.4,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP061,Asad Bashir,Sales,POS-061,Sales Executive,Junior,29,2.4,3.7,3.0,1.7,10,2,No,Yes,0.0,3,81.5,97.2,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP062,Fahad Dar,Sales,POS-062,Senior Sales Executive,Mid,38,3.2,8.2,5.8,0.5,18,2,Yes,No,0.0,6,91.7,98.8,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP063,Ahmad Tariq,Sales,POS-063,Sales Executive,Junior,18,1.5,3.9,3.0,1.5,8,2,Yes,Yes,0.0,2,84.4,97.7,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP064,Hassan Sheikh,Sales,POS-064,Sales Executive,Junior,24,2.0,4.3,3.2,2.0,12,4,No,Yes,0.0,4,92.9,98.9,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP065,Amna Gill,Sales,POS-065,Senior Sales Executive,Mid,17,1.4,3.6,3.1,1.4,13,2,No,Yes,0.0,4,77.8,96.7,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP066,Ali Gill,HR,POS-066,Senior HR Specialist,Senior,77,6.4,11.6,8.7,3.6,19,4,No,Yes,2.0,7,82.1,96.1,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP067,Nida Hameed,Operations,POS-067,Operations Manager,Lead/Manager,110,9.2,14.8,10.7,3.3,29,5,Yes,Yes,4.0,10,85.6,97.8,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP068,Sidra Hussain,Customer Support,POS-068,Customer Support Manager,Lead/Manager,173,14.4,26.4,20.5,3.0,40,11,Yes,Yes,7.8,8,82.9,97.4,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP069,Mehwish Hussain,Operations,POS-069,Operations Officer,Junior,18,1.5,4.0,3.4,1.2,9,1,Yes,No,0.0,2,83.2,97.5,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP070,Bilal Saeed,Engineering,POS-070,Engineering Manager,Lead/Manager,78,6.5,14.6,10.6,4.3,25,5,Yes,Yes,6.1,7,70.3,94.6,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP071,Eman Abbasi,Finance,POS-071,Financial Analyst,Mid,62,5.2,8.7,6.8,4.2,15,4,No,Yes,0.0,3,82.3,97.3,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP072,Fahad Hassan,Customer Support,POS-072,Team Lead - Customer Support,Senior,118,9.8,14.3,12.6,0.4,27,4,Yes,Yes,1.2,8,81.1,97.2,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP073,Ali Yousaf,Customer Support,POS-073,Support Executive,Junior,11,0.9,1.6,1.2,0.9,3,1,No,No,0.0,1,74.4,83.7,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP074,Omer Hameed,Sales,POS-074,Sales Executive,Junior,28,2.3,3.3,3.0,2.1,8,2,No,No,0.0,3,80.1,97.0,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP075,Asad Raza,Operations,POS-075,Operations Specialist,Mid,21,1.8,6.4,5.0,1.8,12,3,No,No,0.0,4,84.1,95.7,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP076,Fahad Shah,Engineering,POS-076,Software Engineer,Mid,59,4.9,8.1,6.8,1.0,16,5,Yes,No,0.0,6,82.2,97.3,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP077,Ahmad Awan,Customer Support,POS-077,Team Lead - Customer Support,Senior,81,6.8,14.2,10.2,1.9,26,5,Yes,Yes,1.7,8,95.1,99.3,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP078,Ahmad Nawaz,Engineering,POS-078,Software Engineer,Mid,25,2.1,3.6,3.0,2.0,9,2,Yes,Yes,0.0,2,82.2,89.6,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP079,Hina Aslam,Customer Support,POS-079,Support Executive,Junior,5,0.4,2.2,1.6,0.4,2,0,No,Yes,0.0,1,86.6,81.3,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP080,Ali Mughal,Engineering,POS-080,Engineering Manager,Lead/Manager,93,7.8,18.8,13.7,1.8,38,10,No,Yes,2.1,6,84.7,95.2,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP081,Sonia Arif,HR,POS-081,Senior HR Specialist,Senior,109,9.1,14.4,11.3,0.8,29,8,No,Yes,1.5,11,80.9,97.1,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP082,Ali Dar,Engineering,POS-082,Junior Software Engineer,Junior,8,0.7,0.9,0.8,0.7,5,2,No,No,0.0,1,75.2,92.1,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP083,Raza Aziz,Customer Support,POS-083,Support Executive,Junior,27,2.2,4.0,3.3,1.9,9,2,Yes,Yes,0.0,3,83.9,97.6,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP084,Zara Ullah,HR,POS-084,HR Specialist,Mid,53,4.4,9.3,7.2,2.7,16,5,Yes,Yes,0.0,4,85.3,97.8,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP085,Sara Yousaf,HR,POS-085,Senior HR Specialist,Senior,84,7.0,14.8,10.9,1.7,21,6,Yes,No,1.8,7,82.6,97.4,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP086,Hina Tariq,Operations,POS-086,Operations Officer,Junior,36,3.0,3.3,2.5,3.0,7,1,No,No,0.0,1,87.1,98.1,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP087,Kashif Hameed,HR,POS-087,HR Manager,Lead/Manager,108,9.0,17.3,13.3,0.7,36,9,Yes,Yes,6.1,11,88.3,98.2,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP088,Sana Mughal,Operations,POS-088,Operations Specialist,Mid,51,4.2,6.5,5.1,3.4,15,3,No,Yes,0.0,5,87.4,98.1,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP089,Muneeb Haider,HR,POS-089,HR Officer,Junior,35,2.9,5.1,4.0,2.9,10,2,Yes,No,0.0,3,94.5,99.2,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,2026-08-01
