Employee_ID,Employee_Name,Department,Position_ID,Attendance_Period,Scheduled_Working_Days,Present_Days,Approved_Leave_Days,Absent_Days,Unapproved_Absent_Days,Late_Arrivals,Overtime_Hours_Last_30D,Attendance_Percentage,Punctuality_Percentage,Attendance_Score,Attendance_Status,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP011,Khurram Iqbal,Sales,POS-011,Last 90 Days,65,60,4,1,0,0,7,98.4,100.0,98.8,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP012,Danish Masood,HR,POS-012,Last 90 Days,65,62,2,1,0,6,28,98.4,90.3,96.4,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP013,Anum Ahmad,HR,POS-013,Last 90 Days,65,64,0,1,0,4,14,98.5,93.8,97.3,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP014,Shahid Ali,Engineering,POS-014,Last 90 Days,65,65,0,0,0,2,11,100.0,96.9,99.2,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP015,Anum Rehman,Engineering,POS-015,Last 90 Days,65,61,4,0,0,4,14,100.0,93.4,98.4,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP016,Khurram Gill,Sales,POS-016,Last 90 Days,65,62,1,2,0,7,30,96.9,88.7,94.8,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP017,Amir Haider,Customer Support,POS-017,Last 90 Days,65,62,1,2,0,6,40,96.9,90.3,95.2,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP018,Sidra Tariq,Engineering,POS-018,Last 90 Days,65,61,3,1,1,6,29,98.4,90.2,93.3,Needs Improvement,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP019,Hina Hussain,IT,POS-019,Last 90 Days,65,58,4,3,0,5,18,95.1,91.4,94.2,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP020,Waqas Khan,Customer Support,POS-020,Last 90 Days,65,62,3,0,0,3,20,100.0,95.2,98.8,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP021,Usman Khan,Customer Support,POS-021,Last 90 Days,65,62,3,0,0,2,21,100.0,96.8,99.2,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP022,Laiba Raza,Sales,POS-022,Last 90 Days,65,61,2,2,0,2,15,96.8,96.7,96.8,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP023,Fatima Masood,Operations,POS-023,Last 90 Days,65,59,4,2,0,3,36,96.7,94.9,96.3,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP024,Fatima Arif,IT,POS-024,Last 90 Days,65,63,0,2,0,1,20,96.9,98.4,97.3,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP025,Raza Mughal,Finance,POS-025,Last 90 Days,65,64,1,0,0,5,30,100.0,92.2,98.0,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP026,Anum Qureshi,Operations,POS-026,Last 90 Days,65,62,1,2,1,9,27,96.9,85.5,91.0,Needs Improvement,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP027,Akbar Hassan,Customer Support,POS-027,Last 90 Days,65,61,2,2,1,10,46,96.8,83.6,90.5,Needs Improvement,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP028,Salman Aziz,Sales,POS-028,Last 90 Days,65,59,3,3,0,8,36,95.2,86.4,93.0,Needs Improvement,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP029,Ali Saleem,Engineering,POS-029,Last 90 Days,65,63,1,1,0,6,38,98.4,90.5,96.4,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP030,Hamza Ahmad,Finance,POS-030,Last 90 Days,65,63,1,1,0,6,8,98.4,90.5,96.4,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP031,Sadia Haider,Engineering,POS-031,Last 90 Days,65,61,3,1,0,3,8,98.4,95.1,97.6,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP032,Laiba Mahmood,Sales,POS-032,Last 90 Days,65,64,1,0,0,2,19,100.0,96.9,99.2,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP033,Ali Chaudhry,IT,POS-033,Last 90 Days,65,63,2,0,0,5,28,100.0,92.1,98.0,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP034,Nida Sheikh,Sales,POS-034,Last 90 Days,65,64,1,0,0,6,22,100.0,90.6,97.7,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP035,Shahbaz Malik,Engineering,POS-035,Last 90 Days,65,63,1,1,0,4,26,98.4,93.7,97.2,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP036,Zoya Chaudhry,Sales,POS-036,Last 90 Days,65,60,4,1,0,4,14,98.4,93.3,97.1,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP037,Zara Mahmood,IT,POS-037,Last 90 Days,65,61,3,1,0,0,19,98.4,100.0,98.8,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP038,Ali Mahmood,Customer Support,POS-038,Last 90 Days,65,62,3,0,0,6,47,100.0,90.3,97.6,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP039,Kamran Hussain,Operations,POS-039,Last 90 Days,65,64,1,0,0,3,22,100.0,95.3,98.8,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP040,Ahmad Sheikh,Customer Support,POS-040,Last 90 Days,65,61,4,0,0,6,29,100.0,90.2,97.5,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP041,Omer Nawaz,Operations,POS-041,Last 90 Days,65,64,0,1,0,4,30,98.5,93.8,97.3,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP042,Amna Aslam,Customer Support,POS-042,Last 90 Days,65,60,3,2,0,6,29,96.8,90.0,95.1,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP043,Amir Javed,Operations,POS-043,Last 90 Days,65,62,2,1,0,6,46,98.4,90.3,96.4,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP044,Hafsa Khan,Finance,POS-044,Last 90 Days,65,63,2,0,0,3,19,100.0,95.2,98.8,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP045,Saad Ahmad,Operations,POS-045,Last 90 Days,65,58,4,3,0,8,39,95.1,86.2,92.9,Needs Improvement,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP046,Salman Iqbal,Customer Support,POS-046,Last 90 Days,65,63,2,0,0,3,25,100.0,95.2,98.8,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP047,Mahnoor Iqbal,Finance,POS-047,Last 90 Days,65,63,2,0,0,4,10,100.0,93.7,98.4,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP048,Sehrish Shah,Operations,POS-048,Last 90 Days,65,60,1,4,0,3,61,93.8,95.0,94.1,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP049,Sara Aslam,Sales,POS-049,Last 90 Days,65,60,3,2,1,7,39,96.8,88.3,91.7,Needs Improvement,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP050,Mohsin Butt,Finance,POS-050,Last 90 Days,65,64,0,1,0,3,14,98.5,95.3,97.7,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP051,Asad Ahmad,IT,POS-051,Last 90 Days,65,65,0,0,0,2,22,100.0,96.9,99.2,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP052,Raza Hassan,Customer Support,POS-052,Last 90 Days,65,64,1,0,0,5,25,100.0,92.2,98.0,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP053,Zeeshan Abbasi,HR,POS-053,Last 90 Days,65,65,0,0,0,4,0,100.0,93.8,98.5,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP054,Waqas Aslam,Engineering,POS-054,Last 90 Days,65,59,4,2,0,9,30,96.7,84.7,93.7,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP055,Sadia Mahmood,Engineering,POS-055,Last 90 Days,65,62,1,2,1,3,34,96.9,95.2,93.4,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP056,Saba Hassan,Operations,POS-056,Last 90 Days,65,62,3,0,0,1,24,100.0,98.4,99.6,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP057,Raza Haider,IT,POS-057,Last 90 Days,65,63,0,2,0,4,43,96.9,93.7,96.1,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP058,Shahid Malik,Engineering,POS-058,Last 90 Days,65,64,0,1,1,7,27,98.5,89.1,93.1,Needs Improvement,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP059,Anum Masood,Sales,POS-059,Last 90 Days,65,64,1,0,0,2,26,100.0,96.9,99.2,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP060,Mohsin Yousaf,Sales,POS-060,Last 90 Days,65,62,3,0,0,5,21,100.0,91.9,98.0,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP061,Asad Bashir,Sales,POS-061,Last 90 Days,65,64,1,0,0,5,17,100.0,92.2,98.0,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP062,Fahad Dar,Sales,POS-062,Last 90 Days,65,61,4,0,0,0,6,100.0,100.0,100.0,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP063,Ahmad Tariq,Sales,POS-063,Last 90 Days,65,62,3,0,0,5,7,100.0,91.9,98.0,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP064,Hassan Sheikh,Sales,POS-064,Last 90 Days,65,60,4,1,0,3,31,98.4,95.0,97.5,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP065,Amna Gill,Sales,POS-065,Last 90 Days,65,62,3,0,0,13,23,100.0,79.0,94.8,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP066,Ali Gill,HR,POS-066,Last 90 Days,65,61,3,1,1,6,7,98.4,90.2,93.3,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP067,Nida Hameed,Operations,POS-067,Last 90 Days,65,60,0,5,1,9,48,92.3,85.0,87.5,Needs Improvement,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP068,Sidra Hussain,Customer Support,POS-068,Last 90 Days,65,64,1,0,0,4,1,100.0,93.8,98.4,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP069,Mehwish Hussain,Operations,POS-069,Last 90 Days,65,61,3,1,0,7,19,98.4,88.5,95.9,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP070,Bilal Saeed,Engineering,POS-070,Last 90 Days,65,58,4,3,0,4,12,95.1,93.1,94.6,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP071,Eman Abbasi,Finance,POS-071,Last 90 Days,65,59,4,2,0,2,35,96.7,96.6,96.7,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP072,Fahad Hassan,Customer Support,POS-072,Last 90 Days,65,62,3,0,0,4,4,100.0,93.5,98.4,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP073,Ali Yousaf,Customer Support,POS-073,Last 90 Days,65,62,0,3,1,5,42,95.4,91.9,91.5,Needs Improvement,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP074,Omer Hameed,Sales,POS-074,Last 90 Days,65,60,3,2,0,8,34,96.8,86.7,94.2,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP075,Asad Raza,Operations,POS-075,Last 90 Days,65,61,4,0,0,2,17,100.0,96.7,99.2,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP076,Fahad Shah,Engineering,POS-076,Last 90 Days,65,64,1,0,0,6,2,100.0,90.6,97.7,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP077,Ahmad Awan,Customer Support,POS-077,Last 90 Days,65,65,0,0,0,2,17,100.0,96.9,99.2,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP078,Ahmad Nawaz,Engineering,POS-078,Last 90 Days,65,59,4,2,0,6,20,96.7,89.8,95.0,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP079,Hina Aslam,Customer Support,POS-079,Last 90 Days,65,64,0,1,0,2,11,98.5,96.9,98.1,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP080,Ali Mughal,Engineering,POS-080,Last 90 Days,65,64,1,0,0,2,16,100.0,96.9,99.2,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP081,Sonia Arif,HR,POS-081,Last 90 Days,65,60,3,2,0,4,0,96.8,93.3,95.9,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP082,Ali Dar,Engineering,POS-082,Last 90 Days,65,64,1,0,0,0,22,100.0,100.0,100.0,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP083,Raza Aziz,Customer Support,POS-083,Last 90 Days,65,62,3,0,0,3,31,100.0,95.2,98.8,Excellent,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP084,Zara Ullah,HR,POS-084,Last 90 Days,65,60,3,2,0,12,10,96.8,80.0,92.6,Needs Improvement,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP085,Sara Yousaf,HR,POS-085,Last 90 Days,65,63,1,1,0,1,22,98.4,98.4,98.4,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP086,Hina Tariq,Operations,POS-086,Last 90 Days,65,64,1,0,0,0,24,100.0,100.0,100.0,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP087,Kashif Hameed,HR,POS-087,Last 90 Days,65,61,3,1,0,7,3,98.4,88.5,95.9,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP088,Sana Mughal,Operations,POS-088,Last 90 Days,65,62,3,0,0,2,25,100.0,96.8,99.2,Excellent,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP089,Muneeb Haider,HR,POS-089,Last 90 Days,65,62,2,1,0,2,22,98.4,96.8,98.0,Excellent,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP090,Noman Ahmad,Finance,POS-090,Last 90 Days,65,64,1,0,0,6,16,100.0,90.6,97.7,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP091,Nida Mughal,Finance,POS-091,Last 90 Days,65,61,4,0,0,0,4,100.0,100.0,100.0,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP092,Mahnoor Ali,Engineering,POS-092,Last 90 Days,65,62,3,0,0,4,27,100.0,93.5,98.4,Excellent,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP093,Danish Siddiqui,Sales,POS-093,Last 90 Days,65,63,2,0,0,1,11,100.0,98.4,99.6,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP094,Akbar Abbasi,IT,POS-094,Last 90 Days,65,60,4,1,0,2,25,98.4,96.7,97.9,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP095,Haris Mahmood,IT,POS-095,Last 90 Days,65,63,2,0,0,0,28,100.0,100.0,100.0,Excellent,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP096,Ayesha Abbasi,Sales,POS-096,Last 90 Days,65,62,3,0,0,6,42,100.0,90.3,97.6,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP097,Sana Arif,Sales,POS-097,Last 90 Days,65,63,2,0,0,3,15,100.0,95.2,98.8,Excellent,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP098,Sidra Zafar,Customer Support,POS-098,Last 90 Days,65,63,0,2,2,7,27,96.9,88.9,88.9,Needs Improvement,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP099,Bilal Aslam,Finance,POS-099,Last 90 Days,65,64,1,0,0,4,18,100.0,93.8,98.4,Excellent,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP100,Rabia Javed,Engineering,POS-100,Last 90 Days,65,61,1,3,1,6,29,95.3,90.2,91.0,Needs Improvement,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
