Assignment_ID,Employee_ID,Employee_Name,Position_ID,Position_Title,Department_ID,Department_Name,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Manager_Employee_ID,Assignment_Start_Date,Assignment_End_Date,Assignment_Status,Assignment_Type,Assignment_Full_Time_Equivalent,Employment_Type,Data_As_Of_Date
ASSIGNMENT-0013,EMP013,Anum Ahmad,POS-013,HR Generalist,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,EMP012,2022-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0014,EMP014,Shahid Ali,POS-014,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,EMP015,2024-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0015,EMP015,Anum Rehman,POS-015,Engineering Lead,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,EMP268,2023-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0016,EMP016,Khurram Gill,POS-016,Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP105,2024-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0017,EMP017,Amir Haider,POS-017,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,EMP168,2024-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0018,EMP018,Sidra Tariq,POS-018,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,EMP142,2025-05-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0019,EMP019,Hina Hussain,POS-019,Systems Administrator,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,EMP169,2025-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0020,EMP020,Waqas Khan,POS-020,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,EMP262,2024-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0021,EMP021,Usman Khan,POS-021,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,EMP009,2024-06-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0022,EMP022,Laiba Raza,POS-022,Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP105,2025-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0023,EMP023,Fatima Masood,POS-023,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,EMP278,2025-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0024,EMP024,Fatima Arif,POS-024,Systems Administrator,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,EMP095,2023-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0025,EMP025,Raza Mughal,POS-025,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,EMP228,2024-03-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0026,EMP026,Anum Qureshi,POS-026,Operations Manager,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,EMP277,2024-07-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0027,EMP027,Akbar Hassan,POS-027,Senior Support Executive,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,EMP128,2023-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0028,EMP028,Salman Aziz,POS-028,Senior Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP105,2024-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0029,EMP029,Ali Saleem,POS-029,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,EMP070,2025-07-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0030,EMP030,Hamza Ahmad,POS-030,Senior Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,EMP008,2024-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0031,EMP031,Sadia Haider,POS-031,Senior Software Engineer,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP129,2024-07-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0032,EMP032,Laiba Mahmood,POS-032,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP166,2025-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0033,EMP033,Ali Chaudhry,POS-033,IT Support Engineer,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,EMP296,2025-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0034,EMP034,Nida Sheikh,POS-034,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP059,2023-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0035,EMP035,Shahbaz Malik,POS-035,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,EMP015,2023-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0036,EMP036,Zoya Chaudhry,POS-036,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,EMP125,2026-05-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0037,EMP037,Zara Mahmood,POS-037,Systems Administrator,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,EMP169,2023-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0038,EMP038,Ali Mahmood,POS-038,Senior Support Executive,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,EMP144,2023-06-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0039,EMP039,Kamran Hussain,POS-039,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,EMP282,2026-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0040,EMP040,Ahmad Sheikh,POS-040,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP077,2023-08-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0041,EMP041,Omer Nawaz,POS-041,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,EMP284,2025-12-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0042,EMP042,Amna Aslam,POS-042,Senior Support Executive,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,EMP128,2023-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0043,EMP043,Amir Javed,POS-043,Operations Analyst,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,EMP278,2024-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0044,EMP044,Hafsa Khan,POS-044,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,EMP229,2025-03-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0045,EMP045,Saad Ahmad,POS-045,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,EMP067,2026-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0046,EMP046,Salman Iqbal,POS-046,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP262,2023-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0047,EMP047,Mahnoor Iqbal,POS-047,Senior Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,EMP232,2024-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0048,EMP048,Sehrish Shah,POS-048,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,EMP279,2026-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0049,EMP049,Sara Aslam,POS-049,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP253,2024-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0050,EMP050,Mohsin Butt,POS-050,Finance Officer,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,EMP008,2025-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0051,EMP051,Asad Ahmad,POS-051,Senior Systems Engineer,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,EMP293,2024-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0052,EMP052,Raza Hassan,POS-052,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP072,2026-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0053,EMP053,Zeeshan Abbasi,POS-053,HR Officer,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,EMP197,2025-01-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0054,EMP054,Waqas Aslam,POS-054,Software Engineer I,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,EMP070,2026-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0055,EMP055,Sadia Mahmood,POS-055,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP195,2026-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0056,EMP056,Saba Hassan,POS-056,Operations Analyst,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,EMP026,2023-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0057,EMP057,Raza Haider,POS-057,IT Support Engineer,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,EMP094,2026-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0058,EMP058,Shahid Malik,POS-058,Senior Software Engineer,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP080,2025-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0059,EMP059,Anum Masood,POS-059,Senior Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP166,2023-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0060,EMP060,Mohsin Yousaf,POS-060,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,EMP253,2025-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0061,EMP061,Asad Bashir,POS-061,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP254,2024-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0062,EMP062,Fahad Dar,POS-062,Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP166,2025-01-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0063,EMP063,Ahmad Tariq,POS-063,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,EMP011,2025-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0064,EMP064,Hassan Sheikh,POS-064,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,EMP105,2024-10-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0065,EMP065,Amna Gill,POS-065,Account Manager,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP166,2025-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0066,EMP066,Ali Gill,POS-066,Senior HR Specialist,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,EMP001,2024-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0067,EMP067,Nida Hameed,POS-067,Operations Manager,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,EMP277,2023-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0068,EMP068,Sidra Hussain,POS-068,Customer Support Manager,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,EMP259,2024-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0069,EMP069,Mehwish Hussain,POS-069,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,EMP067,2026-05-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0070,EMP070,Bilal Saeed,POS-070,Engineering Lead,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,EMP268,2022-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0071,EMP071,Eman Abbasi,POS-071,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,EMP232,2021-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0072,EMP072,Fahad Hassan,POS-072,Support Team Lead,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,EMP128,2025-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0073,EMP073,Ali Yousaf,POS-073,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP009,2025-09-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0074,EMP074,Omer Hameed,POS-074,Sales Executive,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,EMP011,2024-04-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0075,EMP075,Asad Raza,POS-075,Operations Analyst,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,EMP278,2025-07-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0076,EMP076,Fahad Shah,POS-076,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP195,2024-08-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0077,EMP077,Ahmad Awan,POS-077,Support Team Lead,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,EMP128,2024-03-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0078,EMP078,Ahmad Nawaz,POS-078,Software Engineer II,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,EMP070,2025-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0079,EMP079,Hina Aslam,POS-079,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,EMP077,2026-03-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0080,EMP080,Ali Mughal,POS-080,Engineering Lead,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,EMP268,2023-10-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0081,EMP081,Sonia Arif,POS-081,Senior HR Specialist,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,EMP197,2024-08-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0082,EMP082,Ali Dar,POS-082,Software Engineer I,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,EMP270,2025-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0083,EMP083,Raza Aziz,POS-083,Customer Support Representative,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,EMP260,2024-05-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0084,EMP084,Zara Ullah,POS-084,HR Generalist,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,EMP001,2024-12-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0085,EMP085,Sara Yousaf,POS-085,Senior HR Specialist,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,EMP012,2024-11-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0086,EMP086,Hina Tariq,POS-086,Operations Officer,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,EMP281,2023-08-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0087,EMP087,Kashif Hameed,POS-087,HR Manager,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,EMP201,2024-01-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0088,EMP088,Sana Mughal,POS-088,Operations Analyst,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,EMP026,2025-02-01,,Current,Primary Assignment,1.0,Permanent,2026-08-01
ASSIGNMENT-0089,EMP089,Muneeb Haider,POS-089,HR Officer,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,EMP204,2023-12-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
ASSIGNMENT-0090,EMP090,Noman Ahmad,POS-090,Financial Analyst,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,EMP008,2023-12-01,,Current,Primary Assignment,1.0,Contract,2026-08-01
