Movement_ID,Employee_ID,Employee_Name,Movement_Type,Effective_Date,From_Department_ID,From_Department_Name,To_Department_ID,To_Department_Name,From_Organizational_Unit_ID,To_Organizational_Unit_ID,From_Position_ID,To_Position_ID,Movement_Reason,Voluntary_Movement,Employee_Record_Availability,Source_System
MOVEMENT-00049,HISTORICAL-EMPLOYEE-0038,Historical Logistics Employee 0038,Leave,2024-09-14,DEPARTMENT-013,Logistics & Warehouse,,,ORGANIZATIONAL-UNIT-LOG,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00050,HISTORICAL-EMPLOYEE-0039,Historical Logistics Employee 0039,Leave,2024-09-21,DEPARTMENT-013,Logistics & Warehouse,,,ORGANIZATIONAL-UNIT-LOG,,,,Contract completion,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00051,HISTORICAL-EMPLOYEE-0040,Historical Production Employee 0040,Join,2024-09-13,,,DEPARTMENT-014,Production & Manufacturing,,ORGANIZATIONAL-UNIT-PRD,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00052,HISTORICAL-EMPLOYEE-0041,Historical Production Employee 0041,Leave,2024-09-19,DEPARTMENT-014,Production & Manufacturing,,,ORGANIZATIONAL-UNIT-PRD,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00053,HISTORICAL-EMPLOYEE-0042,Historical Quality Employee 0042,Leave,2024-09-20,DEPARTMENT-015,Quality Assurance,,,ORGANIZATIONAL-UNIT-QAS,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00054,EMP715,Ali Munir,Join,2024-09-20,,,DEPARTMENT-016,Research & Development,,ORGANIZATIONAL-UNIT-RND,,,Replacement hire,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00055,HISTORICAL-EMPLOYEE-0043,Historical Research Employee 0043,Leave,2024-09-08,DEPARTMENT-016,Research & Development,,,ORGANIZATIONAL-UNIT-RND,,,,Contract completion,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00056,EMP200,Ahmad Abbasi,Transfer,2024-10-02,DEPARTMENT-004,Customer Support,DEPARTMENT-012,Procurement & Supply Chain,ORGANIZATIONAL-UNIT-CS,ORGANIZATIONAL-UNIT-PRC,POS-200,HISTORICAL-DESTINATION-PRC-02,Business requirement,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00057,EMP439,Imran Shah,Transfer,2024-10-16,DEPARTMENT-010,Administration & Facilities,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-ADM,ORGANIZATIONAL-UNIT-CS,POS-429,HISTORICAL-DESTINATION-CS-02,Workforce balancing,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00058,EMP716,Saba Awan,Transfer,2024-10-20,DEPARTMENT-016,Research & Development,DEPARTMENT-014,Production & Manufacturing,ORGANIZATIONAL-UNIT-RND,ORGANIZATIONAL-UNIT-PRD,POS-700,HISTORICAL-DESTINATION-PRD-02,Employee request,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00059,EMP548,Maryam Faisal,Transfer,2024-10-05,DEPARTMENT-013,Logistics & Warehouse,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-LOG,ORGANIZATIONAL-UNIT-CS,POS-535,HISTORICAL-DESTINATION-CS-02,Employee request,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00060,EMP101,Talha Dar,Transfer,2024-10-03,DEPARTMENT-007,IT,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-IT,ORGANIZATIONAL-UNIT-SAL,POS-101,HISTORICAL-DESTINATION-SAL-02,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00061,EMP357,Kamran Ismail,Transfer,2024-10-25,DEPARTMENT-008,Medical Care,DEPARTMENT-003,Sales,ORGANIZATIONAL-UNIT-MED,ORGANIZATIONAL-UNIT-SAL,POS-349,HISTORICAL-DESTINATION-SAL-02,Career development,Yes,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00062,HISTORICAL-EMPLOYEE-0044,Historical HR Employee 0044,Join,2024-10-16,,,DEPARTMENT-001,HR,,ORGANIZATIONAL-UNIT-HR,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00063,HISTORICAL-EMPLOYEE-0045,Historical HR Employee 0045,Leave,2024-10-07,DEPARTMENT-001,HR,,,ORGANIZATIONAL-UNIT-HR,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00064,EMP084,Zara Ullah,Promotion,2024-10-23,DEPARTMENT-001,HR,DEPARTMENT-001,HR,ORGANIZATIONAL-UNIT-HR,ORGANIZATIONAL-UNIT-HR,POS-084,HISTORICAL-PROMOTION-HR-02-01,Annual promotion cycle,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00065,HISTORICAL-EMPLOYEE-0046,Historical Finance Employee 0046,Leave,2024-10-20,DEPARTMENT-002,Finance,,,ORGANIZATIONAL-UNIT-FIN,,,,Career opportunity,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00066,HISTORICAL-EMPLOYEE-0047,Historical Finance Employee 0047,Leave,2024-10-08,DEPARTMENT-002,Finance,,,ORGANIZATIONAL-UNIT-FIN,,,,Retirement,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00067,EMP123,Sehrish Ullah,Promotion,2024-10-22,DEPARTMENT-002,Finance,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,ORGANIZATIONAL-UNIT-FIN,POS-123,HISTORICAL-PROMOTION-FIN-02-01,Merit promotion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00068,EMP160,Rabia Ullah,Promotion,2024-10-03,DEPARTMENT-002,Finance,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,ORGANIZATIONAL-UNIT-FIN,POS-160,HISTORICAL-PROMOTION-FIN-02-02,Merit promotion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00069,EMP173,Sidra Abbasi,Promotion,2024-10-15,DEPARTMENT-002,Finance,DEPARTMENT-002,Finance,ORGANIZATIONAL-UNIT-FIN,ORGANIZATIONAL-UNIT-FIN,POS-173,HISTORICAL-PROMOTION-FIN-02-03,Role expansion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00070,HISTORICAL-EMPLOYEE-0048,Historical Sales Employee 0048,Leave,2024-10-24,DEPARTMENT-003,Sales,,,ORGANIZATIONAL-UNIT-SAL,,,,Career opportunity,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00071,EMP017,Amir Haider,Join,2024-10-03,,,DEPARTMENT-004,Customer Support,,ORGANIZATIONAL-UNIT-CS,,,Internship intake,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00072,EMP199,Zara Tariq,Join,2024-10-13,,,DEPARTMENT-004,Customer Support,,ORGANIZATIONAL-UNIT-CS,,,Internship intake,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00073,HISTORICAL-EMPLOYEE-0049,Historical Customer Employee 0049,Join,2024-10-02,,,DEPARTMENT-004,Customer Support,,ORGANIZATIONAL-UNIT-CS,,,Approved recruitment plan,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00074,HISTORICAL-EMPLOYEE-0050,Historical Customer Employee 0050,Leave,2024-10-17,DEPARTMENT-004,Customer Support,,,ORGANIZATIONAL-UNIT-CS,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00075,HISTORICAL-EMPLOYEE-0051,Historical Customer Employee 0051,Leave,2024-10-03,DEPARTMENT-004,Customer Support,,,ORGANIZATIONAL-UNIT-CS,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00076,HISTORICAL-EMPLOYEE-0052,Historical Customer Employee 0052,Leave,2024-10-05,DEPARTMENT-004,Customer Support,,,ORGANIZATIONAL-UNIT-CS,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00077,EMP042,Amna Aslam,Promotion,2024-10-23,DEPARTMENT-004,Customer Support,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,ORGANIZATIONAL-UNIT-CS,POS-042,HISTORICAL-PROMOTION-CS-02-01,Role expansion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00078,EMP260,Rabia Farooq,Promotion,2024-10-07,DEPARTMENT-004,Customer Support,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,ORGANIZATIONAL-UNIT-CS,POS-256,HISTORICAL-PROMOTION-CS-02-02,Role expansion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00079,EMP168,Akbar Saleem,Promotion,2024-10-16,DEPARTMENT-004,Customer Support,DEPARTMENT-004,Customer Support,ORGANIZATIONAL-UNIT-CS,ORGANIZATIONAL-UNIT-CS,POS-168,HISTORICAL-PROMOTION-CS-02-03,Role expansion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00080,HISTORICAL-EMPLOYEE-0053,Historical Engineering Employee 0053,Leave,2024-10-13,DEPARTMENT-005,Engineering,,,ORGANIZATIONAL-UNIT-ENG,,,,Resignation,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00081,HISTORICAL-EMPLOYEE-0054,Historical Engineering Employee 0054,Leave,2024-10-16,DEPARTMENT-005,Engineering,,,ORGANIZATIONAL-UNIT-ENG,,,,Resignation,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00082,HISTORICAL-EMPLOYEE-0055,Historical Operations Employee 0055,Join,2024-10-05,,,DEPARTMENT-006,Operations,,ORGANIZATIONAL-UNIT-OPS,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00083,EMP288,Hira Chaudhry,Promotion,2024-10-20,DEPARTMENT-006,Operations,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,ORGANIZATIONAL-UNIT-OPS,POS-282,HISTORICAL-PROMOTION-OPS-02-01,Annual promotion cycle,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00084,EMP284,Hamza Aziz,Promotion,2024-10-11,DEPARTMENT-006,Operations,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,ORGANIZATIONAL-UNIT-OPS,POS-278,HISTORICAL-PROMOTION-OPS-02-02,Annual promotion cycle,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00085,EMP122,Hafsa Ullah,Promotion,2024-10-12,DEPARTMENT-006,Operations,DEPARTMENT-006,Operations,ORGANIZATIONAL-UNIT-OPS,ORGANIZATIONAL-UNIT-OPS,POS-122,HISTORICAL-PROMOTION-OPS-02-03,Role expansion,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00086,HISTORICAL-EMPLOYEE-0056,Historical IT Employee 0056,Join,2024-10-12,,,DEPARTMENT-007,IT,,ORGANIZATIONAL-UNIT-IT,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00087,HISTORICAL-EMPLOYEE-0057,Historical Medical Employee 0057,Join,2024-10-12,,,DEPARTMENT-008,Medical Care,,ORGANIZATIONAL-UNIT-MED,,,Replacement hire,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00088,HISTORICAL-EMPLOYEE-0058,Historical Medical Employee 0058,Join,2024-10-11,,,DEPARTMENT-008,Medical Care,,ORGANIZATIONAL-UNIT-MED,,,Internship intake,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00089,HISTORICAL-EMPLOYEE-0059,Historical Medical Employee 0059,Join,2024-10-13,,,DEPARTMENT-008,Medical Care,,ORGANIZATIONAL-UNIT-MED,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00090,HISTORICAL-EMPLOYEE-0060,Historical Medical Employee 0060,Leave,2024-10-20,DEPARTMENT-008,Medical Care,,,ORGANIZATIONAL-UNIT-MED,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00091,HISTORICAL-EMPLOYEE-0061,Historical Medical Employee 0061,Leave,2024-10-17,DEPARTMENT-008,Medical Care,,,ORGANIZATIONAL-UNIT-MED,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00092,EMP345,Sana Chaudhry,Promotion,2024-10-07,DEPARTMENT-008,Medical Care,DEPARTMENT-008,Medical Care,ORGANIZATIONAL-UNIT-MED,ORGANIZATIONAL-UNIT-MED,POS-337,HISTORICAL-PROMOTION-MED-02-01,Annual promotion cycle,No,Current Employee Record,Synthetic Workforce Movement Generator
MOVEMENT-00093,HISTORICAL-EMPLOYEE-0062,Historical Training Employee 0062,Join,2024-10-13,,,DEPARTMENT-009,Training & Development,,ORGANIZATIONAL-UNIT-TRN,,,Growth hiring,No,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00094,HISTORICAL-EMPLOYEE-0063,Historical Training Employee 0063,Leave,2024-10-18,DEPARTMENT-009,Training & Development,,,ORGANIZATIONAL-UNIT-TRN,,,,Retirement,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00095,HISTORICAL-EMPLOYEE-0064,Historical Training Employee 0064,Leave,2024-10-11,DEPARTMENT-009,Training & Development,,,ORGANIZATIONAL-UNIT-TRN,,,,Contract completion,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00096,HISTORICAL-EMPLOYEE-0065,Historical Training Employee 0065,Leave,2024-10-04,DEPARTMENT-009,Training & Development,,,ORGANIZATIONAL-UNIT-TRN,,,,Contract completion,Yes,Historical Movement Subject,Synthetic Workforce Movement Generator
MOVEMENT-00097,EMP446,Nida Khan,Join,2024-10-14,,,DEPARTMENT-010,Administration & Facilities,,ORGANIZATIONAL-UNIT-ADM,,,Replacement hire,No,Current Employee Record,Synthetic Workforce Movement Generator
