Employee_ID,Employee_Name,Department_ID,Department_Name,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Position_ID,Position_Title,Job_Level,Employment_Type,Employee_Status_Source,Manager_Employee_ID,Hire_Date,Date_of_Birth_Synthetic,Age_As_Of_Date,Planned_Retirement_Date,Retirement_Status,Probation_Start_Date,Probation_Original_End_Date,Probation_Current_End_Date,Probation_Standard_Months,Probation_Extension_Count,Probation_Operational_Status,Probation_Confirmation_Date,Probation_Recommendation,Contract_Current_Start_Date,Contract_Current_End_Date,Contract_Term_Months,Contract_Renewal_Count,Contract_Operational_Status,Promotion_Eligibility_Score,Transfer_Readiness_Score,Performance_Score,Performance_Trend,Attendance_Percentage,Engagement_Score,Attrition_Label_Reference,Current_Notice_Type,Current_Notice_Effective_Date,Operational_Data_Source,Data_As_Of_Date,Rehire_Count,Last_Rehire_Date,Rehire_Last_Reason,Contract_End_Decision,Contract_End_Effective_Date,Final_Settlement_Status,Final_Settlement_Due_Date,Final_Settlement_Action_Record_ID,Acting_Charge_Status,Acting_Target_Position_ID,Acting_Charge_End_Date,Demotion_Status,Demotion_Target_Position_ID,Demotion_Effective_Date,Secondment_Status,Secondment_To_Department_ID,Secondment_Target_Position_ID,Secondment_Expected_Return_Date,Resignation_Withdrawal_Count,Last_Resignation_Withdrawal_Date,Employee_Status_Operational,Operational_Department_ID,Operational_Department_Name,Operational_Business_Unit,Operational_Organizational_Unit_ID,Operational_Work_Location_ID,Operational_Position_ID,Operational_Position_Title,Operational_Job_Level,Operational_Employment_Type,Operational_Manager_Employee_ID,Operational_State_Updated_At,Last_Action_Record_ID,Last_Action_Process_Code
EMP011,Khurram Iqbal,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,POS-011,Sales Manager,Lead/Manager,Permanent,Active,EMP252,2011-08-01,1973-12-03,52,2033-12-03,NOT_DUE,2011-08-01,2011-11-01,2011-11-01,3,0,CONFIRMED,2011-10-29,COMPLETED,,,,,,74.1,91.0,79.51,Stable,98.4,4.6,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,POS-011,Sales Manager,Lead/Manager,Permanent,EMP252,,,
EMP012,Danish Masood,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,POS-012,HR Manager,Lead/Manager,Permanent,Active,EMP201,2018-02-01,1979-09-30,46,2039-09-30,NOT_DUE,2018-02-01,2018-05-01,2018-05-01,3,0,CONFIRMED,2018-04-28,COMPLETED,,,,,,76.4,83.0,79.3,Stable,98.4,2.9,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,POS-012,HR Manager,Lead/Manager,Permanent,EMP201,,,
EMP013,Anum Ahmad,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,POS-013,HR Generalist,Mid,Permanent,Active,EMP012,2022-04-01,1992-01-14,34,2052-01-14,NOT_DUE,2022-04-01,2022-07-01,2022-07-01,3,0,CONFIRMED,2022-06-26,COMPLETED,,,,,,81.5,91.2,91.92,Stable,98.5,4.0,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,1,2025-01-24,FORMER_HIGH_PERFORMER,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,POS-013,HR Generalist,Mid,Permanent,EMP012,,,
EMP014,Shahid Ali,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-014,Software Engineer II,Mid,Permanent,Active,EMP015,2024-09-01,1993-02-21,33,2053-02-21,NOT_DUE,2024-09-01,2024-12-01,2024-12-01,3,0,CONFIRMED,2024-12-05,COMPLETED,,,,,,80.8,83.8,86.94,Stable,100.0,4.6,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-014,Software Engineer II,Mid,Permanent,EMP015,,,
EMP015,Anum Rehman,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,POS-015,Engineering Lead,Lead/Manager,Permanent,Active,EMP268,2017-06-01,1983-05-21,43,2043-05-21,NOT_DUE,2017-06-01,2017-09-01,2017-09-01,3,0,CONFIRMED,2017-09-01,COMPLETED,,,,,,75.4,93.6,80.17,Stable,100.0,4.0,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,POS-015,Engineering Lead,Lead/Manager,Permanent,EMP268,,,
EMP016,Khurram Gill,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-016,Account Manager,Mid,Permanent,Active,EMP105,2020-12-01,1992-04-18,34,2052-04-18,NOT_DUE,2020-12-01,2021-03-01,2021-03-01,3,0,CONFIRMED,2021-03-11,COMPLETED,,,,,,43.4,35.8,70.48,Stable,96.9,3.0,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-016,Account Manager,Mid,Permanent,EMP105,,,
EMP017,Amir Haider,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,POS-017,Customer Support Representative,Junior,Permanent,Active,EMP168,2024-10-01,1999-08-01,27,2059-08-01,NOT_DUE,2024-10-01,2025-01-01,2025-01-01,3,0,CONFIRMED,2025-01-10,COMPLETED,,,,,,79.0,79.6,89.98,Stable,96.9,3.1,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,POS-017,Customer Support Representative,Junior,Permanent,EMP168,,,
EMP018,Sidra Tariq,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,POS-018,Software Engineer II,Mid,Contract,Active,EMP142,2021-07-01,1998-02-14,28,2058-02-14,NOT_DUE,2021-07-01,2021-10-01,2021-10-01,3,0,CONFIRMED,2021-10-01,COMPLETED,2025-07-01,2027-06-30,24,2,ACTIVE,69.2,70.2,81.8,Stable,98.4,2.0,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,1,2026-09-09,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,POS-018,Software Engineer II,Mid,Contract,EMP142,,,
EMP019,Hina Hussain,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,POS-019,Systems Administrator,Mid,Permanent,Active,EMP169,2025-05-01,1994-12-21,31,2054-12-21,NOT_DUE,2025-05-01,2025-08-01,2025-08-01,3,0,CONFIRMED,2025-07-28,COMPLETED,,,,,,81.0,88.8,91.88,Stable,95.1,3.6,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,POS-019,Systems Administrator,Mid,Permanent,EMP169,,,
EMP020,Waqas Khan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,POS-020,Customer Support Representative,Junior,Permanent,Active,EMP262,2023-08-01,1993-04-13,33,2053-04-13,NOT_DUE,2023-08-01,2023-11-01,2023-11-01,3,0,CONFIRMED,2023-10-26,COMPLETED,,,,,,72.5,59.2,84.82,Stable,100.0,3.3,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,POS-020,Customer Support Representative,Junior,Permanent,EMP262,,,
EMP021,Usman Khan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,POS-021,Customer Support Representative,Junior,Permanent,Active,EMP009,2023-08-01,1996-06-11,30,2056-06-11,NOT_DUE,2023-08-01,2023-11-01,2023-11-01,3,0,CONFIRMED,2023-11-15,COMPLETED,,,,,,67.0,67.2,76.36,Stable,100.0,3.5,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,POS-021,Customer Support Representative,Junior,Permanent,EMP009,,,
EMP022,Laiba Raza,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-022,Account Manager,Mid,Permanent,Active,EMP105,2020-10-01,1991-10-18,34,2051-10-18,NOT_DUE,2020-10-01,2021-01-01,2021-01-01,3,0,CONFIRMED,2021-01-01,COMPLETED,,,,,,77.7,90.0,82.96,Stable,96.8,4.4,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-022,Account Manager,Mid,Permanent,EMP105,,,
EMP023,Fatima Masood,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,POS-023,Operations Officer,Junior,Permanent,Active,EMP278,2025-02-01,1997-09-03,28,2057-09-03,NOT_DUE,2025-02-01,2025-05-01,2025-05-01,3,0,CONFIRMED,2025-04-26,COMPLETED,,,,,,64.3,64.2,77.24,Stable,96.7,2.7,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,POS-023,Operations Officer,Junior,Permanent,EMP278,,,
EMP024,Fatima Arif,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,POS-024,Systems Administrator,Mid,Permanent,Active,EMP095,2020-12-01,1994-04-19,32,2054-04-19,NOT_DUE,2020-12-01,2021-03-01,2021-03-01,3,0,CONFIRMED,2021-03-02,COMPLETED,,,,,,73.7,69.6,85.41,Stable,96.9,3.8,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,POS-024,Systems Administrator,Mid,Permanent,EMP095,,,
EMP025,Raza Mughal,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,POS-025,Financial Analyst,Mid,Permanent,Active,EMP228,2024-03-01,1997-03-18,29,2057-03-18,NOT_DUE,2024-03-01,2024-06-01,2024-06-01,3,0,CONFIRMED,2024-06-05,COMPLETED,,,,,,79.8,74.6,87.94,Stable,100.0,3.4,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,POS-025,Financial Analyst,Mid,Permanent,EMP228,,,
EMP026,Anum Qureshi,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,POS-026,Operations Manager,Lead/Manager,Permanent,Active,EMP277,2014-09-01,1981-03-17,45,2041-03-17,NOT_DUE,2014-09-01,2014-12-01,2014-12-01,3,0,CONFIRMED,2014-12-14,COMPLETED,,,,,,47.2,34.4,68.59,Stable,96.9,1.6,Yes,RESIGNATION,2026-09-04,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,PENDING,2026-09-11,HRACT-00278,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,POS-026,Operations Manager,Lead/Manager,Permanent,EMP277,,,
EMP027,Akbar Hassan,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,POS-027,Senior Support Executive,Mid,Permanent,Active,EMP128,2021-11-01,1993-01-29,33,2053-01-29,NOT_DUE,2021-11-01,2022-02-01,2022-02-01,3,0,CONFIRMED,2022-02-03,COMPLETED,,,,,,68.0,70.2,76.9,Stable,96.8,2.5,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,1,2026-08-23,Active,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,POS-027,Senior Support Executive,Mid,Permanent,EMP128,,,
EMP028,Salman Aziz,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-028,Senior Account Manager,Senior,Permanent,Active,EMP105,2023-04-01,1993-04-16,33,2053-04-16,NOT_DUE,2023-04-01,2023-07-01,2023-07-01,3,0,CONFIRMED,2023-06-30,COMPLETED,,,,,,78.2,83.2,85.55,Stable,95.2,3.2,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,POS-028,Senior Account Manager,Senior,Permanent,EMP105,,,
EMP029,Ali Saleem,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-029,Software Engineer II,Mid,Permanent,Active,EMP070,2021-10-01,1993-04-05,33,2053-04-05,NOT_DUE,2021-10-01,2022-01-01,2022-01-01,3,0,CONFIRMED,2022-01-13,COMPLETED,,,,,,79.3,82.6,85.44,Stable,98.4,3.8,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,POS-029,Software Engineer II,Mid,Permanent,EMP070,,,
EMP030,Hamza Ahmad,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,POS-030,Senior Financial Analyst,Senior,Permanent,Active,EMP008,2015-12-01,1986-01-15,40,2046-01-15,NOT_DUE,2015-12-01,2016-03-01,2016-03-01,3,0,CONFIRMED,2016-03-07,COMPLETED,,,,,,82.0,91.0,89.84,Stable,98.4,4.6,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,POS-030,Senior Financial Analyst,Senior,Permanent,EMP008,,,
EMP031,Sadia Haider,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,POS-031,Senior Software Engineer,Senior,Permanent,Active,EMP129,2022-08-01,1989-06-07,37,2049-06-07,NOT_DUE,2022-08-01,2022-11-01,2022-11-01,3,0,CONFIRMED,2022-10-26,COMPLETED,,,,,,81.1,92.4,89.26,Stable,98.4,4.7,No,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,POS-031,Senior Software Engineer,Senior,Permanent,EMP129,,,
EMP032,Laiba Mahmood,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,POS-032,Sales Executive,Junior,Permanent,Active,EMP166,2025-12-01,1997-02-11,29,2057-02-11,NOT_DUE,2025-12-01,2026-03-01,2026-03-01,3,0,CONFIRMED,2026-03-09,COMPLETED,,,,,,62.9,65.4,75.81,Stable,100.0,3.4,Yes,NONE,,Additive synthetic operational layer based on existing 720-employee data,2026-08-01,0,,,NONE,,NONE,,,NONE,,,NONE,,,NONE,,,,0,,Active,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,POS-032,Sales Executive,Junior,Permanent,EMP166,,,
