Employee_ID,Employee_Name,Department,Position_ID,Job_Level,Assessment_Period,KPI_Achievement_pct,Performance_Trend_6M,Productivity_Score,Goal_Completion_Score,Manager_Rating,Teamwork_Score,Quality_Score,Learning_Agility_Score,Performance_Score,Performance_Band,Promotion_Readiness,Department_ID,Business_Unit,Organizational_Unit_ID,Work_Location_ID,Cost_Center_ID,Data_As_Of_Date
EMP011,Khurram Iqbal,Sales,POS-011,Lead/Manager,Latest 6 Months,86.9,0.1,95.0,86.0,3.3,99.5,90.8,100.0,84.0,Strong,Successor / Lateral Pool,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP012,Danish Masood,HR,POS-012,Lead/Manager,Latest 6 Months,103.7,-0.3,86.8,96.2,3.3,77.9,93.6,76.2,84.3,Strong,Successor / Lateral Pool,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP013,Anum Ahmad,HR,POS-013,Mid,Latest 6 Months,97.0,0.3,100.0,93.5,3.6,98.6,90.8,90.0,88.4,Exceptional,Ready Now,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP014,Shahid Ali,Engineering,POS-014,Mid,Latest 6 Months,94.6,-0.1,91.9,82.6,3.2,100.0,86.3,86.5,83.0,Strong,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP015,Anum Rehman,Engineering,POS-015,Lead/Manager,Latest 6 Months,86.4,0.2,91.8,86.6,3.3,95.9,89.2,82.9,82.1,Strong,Successor / Lateral Pool,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP016,Khurram Gill,Sales,POS-016,Mid,Latest 6 Months,74.5,-0.2,77.7,72.0,2.6,79.4,81.3,76.4,69.6,Meets Expectations,Developing,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP017,Amir Haider,Customer Support,POS-017,Junior,Latest 6 Months,104.4,0.8,98.0,100.0,4.1,76.5,93.2,95.4,90.5,Exceptional,Ready Now,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP018,Sidra Tariq,Engineering,POS-018,Mid,Latest 6 Months,87.2,-0.0,86.8,85.0,2.5,63.7,85.0,68.6,74.1,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP019,Hina Hussain,IT,POS-019,Mid,Latest 6 Months,107.5,-0.1,100.0,94.7,3.3,82.7,96.9,84.5,88.6,Exceptional,Ready Now,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP020,Waqas Khan,Customer Support,POS-020,Junior,Latest 6 Months,97.7,-0.1,89.4,87.3,3.3,79.9,88.6,76.0,81.8,Strong,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP021,Usman Khan,Customer Support,POS-021,Junior,Latest 6 Months,81.4,0.1,85.8,67.5,2.9,91.5,78.8,85.4,74.3,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP022,Laiba Raza,Sales,POS-022,Mid,Latest 6 Months,88.6,0.5,91.5,82.3,3.5,100.0,86.3,93.2,82.8,Strong,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP023,Fatima Masood,Operations,POS-023,Junior,Latest 6 Months,81.9,-0.0,84.7,85.1,2.3,71.0,82.7,75.3,73.0,Meets Expectations,Developing,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP024,Fatima Arif,IT,POS-024,Mid,Latest 6 Months,91.2,0.2,89.6,83.4,3.1,90.8,91.5,83.3,81.1,Strong,Ready in 6-12 Months,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP025,Raza Mughal,Finance,POS-025,Mid,Latest 6 Months,95.9,-0.4,93.0,89.2,3.2,81.2,92.1,77.0,82.6,Strong,Ready in 6-12 Months,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP026,Anum Qureshi,Operations,POS-026,Lead/Manager,Latest 6 Months,77.1,-0.1,77.9,71.9,2.4,59.8,74.7,56.1,66.0,Needs Improvement,Developing,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP027,Akbar Hassan,Customer Support,POS-027,Mid,Latest 6 Months,84.7,-0.0,81.7,77.1,2.6,55.4,77.2,71.3,70.3,Meets Expectations,Developing,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP028,Salman Aziz,Sales,POS-028,Senior,Latest 6 Months,105.1,0.3,93.5,92.1,3.7,78.9,98.0,82.6,87.2,Strong,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP029,Ali Saleem,Engineering,POS-029,Mid,Latest 6 Months,90.7,0.1,88.8,88.3,3.4,95.1,84.0,83.7,82.3,Strong,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP030,Hamza Ahmad,Finance,POS-030,Senior,Latest 6 Months,96.4,0.6,94.8,95.2,3.3,100.0,94.2,94.9,87.4,Strong,Ready Now,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP031,Sadia Haider,Engineering,POS-031,Senior,Latest 6 Months,98.2,0.6,100.0,87.3,3.7,100.0,92.5,95.2,88.6,Exceptional,Ready Now,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP032,Laiba Mahmood,Sales,POS-032,Junior,Latest 6 Months,84.0,0.1,79.5,82.8,3.1,86.9,81.5,83.3,76.1,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP033,Ali Chaudhry,IT,POS-033,Junior,Latest 6 Months,108.5,0.4,96.7,100.0,4.4,85.7,86.9,96.5,92.2,Exceptional,Ready Now,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP034,Nida Sheikh,Sales,POS-034,Junior,Latest 6 Months,90.9,0.1,90.4,86.8,2.9,76.0,82.8,70.3,78.2,Strong,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP035,Shahbaz Malik,Engineering,POS-035,Mid,Latest 6 Months,87.4,0.4,87.6,82.2,3.1,82.4,78.7,85.3,77.6,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-03,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP036,Zoya Chaudhry,Sales,POS-036,Junior,Latest 6 Months,88.3,0.1,96.3,83.9,3.5,100.0,80.2,100.0,83.8,Strong,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP037,Zara Mahmood,IT,POS-037,Mid,Latest 6 Months,78.8,0.3,84.7,78.0,2.5,80.1,82.0,79.8,72.7,Meets Expectations,Developing,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-02,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP038,Ali Mahmood,Customer Support,POS-038,Mid,Latest 6 Months,103.0,-0.1,87.3,90.9,3.4,72.7,86.0,77.5,82.6,Strong,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP039,Kamran Hussain,Operations,POS-039,Junior,Latest 6 Months,88.9,0.1,87.1,86.2,3.4,80.7,82.9,88.0,79.7,Strong,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP040,Ahmad Sheikh,Customer Support,POS-040,Junior,Latest 6 Months,92.8,-0.2,86.8,87.7,2.7,74.7,82.8,77.7,77.7,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP041,Omer Nawaz,Operations,POS-041,Junior,Latest 6 Months,81.5,-0.2,85.3,72.1,2.6,81.1,81.7,79.7,73.0,Meets Expectations,Developing,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP042,Amna Aslam,Customer Support,POS-042,Mid,Latest 6 Months,92.6,0.1,87.1,81.4,2.7,75.1,85.5,83.0,77.1,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP043,Amir Javed,Operations,POS-043,Mid,Latest 6 Months,83.4,0.3,87.4,80.2,2.5,82.0,78.7,88.9,75.0,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP044,Hafsa Khan,Finance,POS-044,Mid,Latest 6 Months,97.4,0.2,89.5,95.4,3.2,77.1,90.1,73.2,82.6,Strong,Ready in 6-12 Months,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP045,Saad Ahmad,Operations,POS-045,Junior,Latest 6 Months,112.6,-0.1,100.0,100.0,4.1,98.6,96.5,97.8,95.1,Exceptional,Ready Now,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP046,Salman Iqbal,Customer Support,POS-046,Junior,Latest 6 Months,93.2,0.1,86.1,96.6,2.8,73.1,86.0,70.3,78.9,Strong,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP047,Mahnoor Iqbal,Finance,POS-047,Senior,Latest 6 Months,92.8,0.2,92.7,77.5,2.9,91.4,88.5,88.2,80.7,Strong,Ready in 6-12 Months,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP048,Sehrish Shah,Operations,POS-048,Junior,Latest 6 Months,90.5,-0.8,86.3,80.6,2.9,87.8,81.2,74.8,77.4,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP049,Sara Aslam,Sales,POS-049,Junior,Latest 6 Months,94.7,0.2,90.3,90.7,3.2,90.0,82.6,85.6,82.4,Strong,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP050,Mohsin Butt,Finance,POS-050,Junior,Latest 6 Months,80.1,-0.0,79.2,75.3,2.6,84.9,80.1,76.9,72.1,Meets Expectations,Developing,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP051,Asad Ahmad,IT,POS-051,Senior,Latest 6 Months,89.4,0.6,97.1,87.6,3.6,99.2,88.9,100.0,85.7,Strong,Ready Now,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP052,Raza Hassan,Customer Support,POS-052,Junior,Latest 6 Months,92.8,-0.5,83.8,85.5,2.8,78.5,84.0,71.1,77.2,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP053,Zeeshan Abbasi,HR,POS-053,Junior,Latest 6 Months,76.3,0.5,89.0,76.7,2.9,100.0,76.5,100.0,76.7,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP054,Waqas Aslam,Engineering,POS-054,Junior,Latest 6 Months,105.9,0.5,93.2,96.9,3.7,88.1,88.0,100.0,89.0,Exceptional,Ready Now,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP055,Sadia Mahmood,Engineering,POS-055,Mid,Latest 6 Months,83.4,0.0,79.8,91.9,2.5,84.0,79.4,75.0,74.8,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP056,Saba Hassan,Operations,POS-056,Mid,Latest 6 Months,100.2,0.1,89.6,92.7,3.3,79.3,91.5,68.4,83.0,Strong,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP057,Raza Haider,IT,POS-057,Junior,Latest 6 Months,79.6,0.2,87.3,75.9,2.9,79.9,80.9,84.4,74.6,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-007,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,LOC-HQ,COST-CENTER-IT,2026-08-01
EMP058,Shahid Malik,Engineering,POS-058,Senior,Latest 6 Months,93.1,-0.5,87.3,84.6,2.9,64.4,95.9,57.3,77.3,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP059,Anum Masood,Sales,POS-059,Senior,Latest 6 Months,102.5,-0.1,93.2,94.0,3.5,85.3,90.1,80.9,86.3,Strong,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP060,Mohsin Yousaf,Sales,POS-060,Junior,Latest 6 Months,105.2,0.0,90.7,100.0,3.3,73.6,89.0,71.3,84.9,Strong,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP061,Asad Bashir,Sales,POS-061,Junior,Latest 6 Months,78.6,-0.0,86.6,79.2,3.0,89.9,86.3,88.0,76.7,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP062,Fahad Dar,Sales,POS-062,Mid,Latest 6 Months,101.9,0.5,99.3,93.4,4.2,96.1,95.4,99.1,91.8,Exceptional,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP063,Ahmad Tariq,Sales,POS-063,Junior,Latest 6 Months,73.7,0.4,83.1,74.4,2.2,80.2,70.7,77.2,68.7,Meets Expectations,Developing,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP064,Hassan Sheikh,Sales,POS-064,Junior,Latest 6 Months,110.8,-0.3,92.5,100.0,3.3,78.2,89.5,74.8,86.8,Strong,Ready Now,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP065,Amna Gill,Sales,POS-065,Mid,Latest 6 Months,85.3,-0.2,79.7,80.0,2.5,68.6,87.9,81.7,72.9,Meets Expectations,Developing,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP066,Ali Gill,HR,POS-066,Senior,Latest 6 Months,76.4,0.1,77.5,75.1,2.3,70.5,78.4,61.7,67.7,Needs Improvement,Developing,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP067,Nida Hameed,Operations,POS-067,Lead/Manager,Latest 6 Months,95.3,-0.1,84.2,92.7,2.6,76.1,87.5,70.9,78.5,Strong,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP068,Sidra Hussain,Customer Support,POS-068,Lead/Manager,Latest 6 Months,82.4,0.1,92.4,73.9,3.1,92.8,85.7,76.2,77.8,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP069,Mehwish Hussain,Operations,POS-069,Junior,Latest 6 Months,106.0,-0.1,95.4,97.7,2.9,67.3,91.6,77.1,84.2,Strong,Ready Now,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP070,Bilal Saeed,Engineering,POS-070,Lead/Manager,Latest 6 Months,79.2,-0.0,79.3,69.3,2.4,81.0,90.3,77.4,70.9,Meets Expectations,Developing,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP071,Eman Abbasi,Finance,POS-071,Mid,Latest 6 Months,78.3,-0.1,78.3,80.4,2.4,75.6,81.5,74.0,70.5,Meets Expectations,Developing,DEPARTMENT-002,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,LOC-HQ,COST-CENTER-FIN,2026-08-01
EMP072,Fahad Hassan,Customer Support,POS-072,Senior,Latest 6 Months,90.1,0.5,93.2,88.7,3.3,90.7,84.6,95.1,82.9,Strong,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP073,Ali Yousaf,Customer Support,POS-073,Junior,Latest 6 Months,63.5,-0.4,70.8,60.2,2.0,81.9,74.3,81.0,62.0,Needs Improvement,Developing,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP074,Omer Hameed,Sales,POS-074,Junior,Latest 6 Months,85.7,-0.4,82.0,92.9,3.0,77.1,81.5,77.5,76.9,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-003,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,LOC-NORTH,COST-CENTER-SAL,2026-08-01
EMP075,Asad Raza,Operations,POS-075,Mid,Latest 6 Months,81.4,0.4,86.1,79.5,2.9,96.3,81.6,83.0,76.6,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-006,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,LOC-CENTRAL,COST-CENTER-OPS,2026-08-01
EMP076,Fahad Shah,Engineering,POS-076,Mid,Latest 6 Months,77.1,0.3,85.8,78.4,3.0,100.0,80.4,95.0,76.7,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP077,Ahmad Awan,Customer Support,POS-077,Senior,Latest 6 Months,97.9,0.6,100.0,90.3,4.0,100.0,89.1,97.6,89.7,Exceptional,Ready Now,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP078,Ahmad Nawaz,Engineering,POS-078,Mid,Latest 6 Months,84.0,0.3,86.0,81.1,3.4,84.8,84.1,83.6,78.1,Strong,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-01,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP079,Hina Aslam,Customer Support,POS-079,Junior,Latest 6 Months,82.0,0.1,93.0,83.0,2.6,94.6,76.7,95.9,77.9,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP080,Ali Mughal,Engineering,POS-080,Lead/Manager,Latest 6 Months,101.3,0.8,100.0,95.9,4.4,100.0,89.3,83.2,91.7,Exceptional,Successor / Lateral Pool,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP081,Sonia Arif,HR,POS-081,Senior,Latest 6 Months,93.2,0.4,93.3,94.5,3.6,99.8,86.9,96.6,86.5,Strong,Ready Now,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
EMP082,Ali Dar,Engineering,POS-082,Junior,Latest 6 Months,86.3,-0.7,84.0,81.3,2.4,75.8,84.2,76.5,74.0,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-005,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,LOC-HQ,COST-CENTER-ENG,2026-08-01
EMP083,Raza Aziz,Customer Support,POS-083,Junior,Latest 6 Months,74.6,0.1,84.9,74.5,2.9,98.0,79.1,96.3,74.8,Meets Expectations,Ready in 6-12 Months,DEPARTMENT-004,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,LOC-CENTRAL,COST-CENTER-CS,2026-08-01
EMP084,Zara Ullah,HR,POS-084,Mid,Latest 6 Months,91.5,0.2,88.5,84.4,3.3,76.6,81.1,65.2,78.5,Strong,Ready in 6-12 Months,DEPARTMENT-001,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,LOC-HQ,COST-CENTER-HR,2026-08-01
