Employee_ID,Employee_Name,Performance_Cycle_ID,Performance_Month,Department_ID,Department,Business_Unit,Position_ID,Position_Title,Job_Level,Role_Band,KPI_Count,Total_KPI_Weight_pct,Calculated_Score_Before_Rules,Critical_KPI_Breach_Flag,Final_Performance_Score,Performance_Band,Average_Evidence_Quality,Calculation_Status,Calculation_Version,Data_As_Of_Date
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.85,No,90.85,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.26,No,90.26,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.74,No,90.74,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,91.22,No,91.22,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,91.2,No,91.2,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.74,No,90.74,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.52,No,90.52,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.4,No,90.4,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.55,No,90.55,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP004,Ali Masood,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-002,Finance,Corporate Services,POS-004,Financial Analyst,Mid,Professional/Mid-level,7,100.0,90.78,No,90.78,Exceptional,0.91,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,74.41,No,74.41,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.16,No,73.16,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.64,No,73.64,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.6,No,73.6,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,74.44,No,74.44,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.1,No,73.1,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,72.99,No,72.99,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.82,No,73.82,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,74.81,No,74.81,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.07,No,73.07,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,73.67,No,73.67,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP005,Farhan Shah,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-005,Software Engineer I,Junior,Junior/Assistant,7,100.0,74.56,No,74.56,Meets Expectations,0.87,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,85.55,No,85.55,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,85.0,No,85.0,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,85.76,No,85.76,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,86.01,No,86.01,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,84.95,No,84.95,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,86.19,No,86.19,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,83.64,No,83.64,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,83.62,No,83.62,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,84.67,No,84.67,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,85.44,No,85.44,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,86.12,No,86.12,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP006,Sehrish Tariq,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-005,Engineering,Technology and Innovation,POS-006,Software Engineer II,Mid,Professional/Mid-level,7,100.0,86.35,No,86.35,Strong,0.9,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,83.2,No,83.2,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,83.08,No,83.08,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,82.28,No,82.28,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,84.0,No,84.0,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,84.25,No,84.25,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,84.28,No,84.28,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,82.19,No,82.19,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,82.37,No,82.37,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,84.04,No,84.04,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,83.41,No,83.41,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,84.39,No,84.39,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP007,Sonia Ahmad,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-007,Customer Support Representative,Junior,Junior/Assistant,7,100.0,82.59,No,82.59,Strong,0.88,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,77.55,No,77.55,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.04,No,78.04,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,79.12,No,79.12,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.3,No,78.3,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,79.03,No,79.03,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.78,No,78.78,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,77.93,No,77.93,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-04-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.35,No,78.35,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-05-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,77.74,No,77.74,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-06-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.03,No,78.03,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-07-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.96,No,78.96,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP008,Iqra Bashir,PC-2025-2026-ANNUAL,2026-08-01,DEPARTMENT-002,Finance,Corporate Services,POS-008,Finance Manager,Lead/Manager,Manager/Head,8,100.0,78.32,No,78.32,Meets Expectations,0.91,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2025-09-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,83.32,No,83.32,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2025-10-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,81.9,No,81.9,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2025-11-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,83.02,No,83.02,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2025-12-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,82.59,No,82.59,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2026-01-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,83.5,No,83.5,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2026-02-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,82.67,No,82.67,Strong,0.92,Completed,PERF-V1.0,2026-08-01
EMP009,Hassan Dar,PC-2025-2026-ANNUAL,2026-03-01,DEPARTMENT-004,Customer Support,Commercial Services,POS-009,Customer Support Manager,Lead/Manager,Manager/Head,8,100.0,83.45,No,83.45,Strong,0.92,Completed,PERF-V1.0,2026-08-01
